DynoWare	Version 3.2.2.0
Path:	C:\Documents and Settings\User\Dokumenty\Dynamometer - Testovanie rezné sily\5 rezne sily od 12_2020 do projektu\Rn5um_nastroj2\
Filename:	t0.dwd
Config ID:	t0.cfg
Setup ID:	0
Manipulated:	0
Filename 1:	 
Filename 2:	 
Date:	Wednesday, December 16, 2020
Time:	08:42:47
Sampling rate [Hz]:	16667
Measuring time [s]:	20
Delay time [s]:	0
Cycle time [s]:	0
Cycles:	1
Samples per channel:	333321
Cycle interval:	0
Cycle No:	1
Time	Fx	Fy	Fz	Mx	My	Mz
s	N	N	N	Nm	Nm	Nm
8.206156	0.915527	2.80762	3.2959	0.723267	0.759888	0.604248
8.206216	1.77002	2.86865	5.12695	0.860596	0.67749	0.50354
8.206276	1.83105	1.95313	6.95801	0.83313	0.631714	0.704956
8.206336	1.64795	3.479	5.00488	0.750732	0.741577	0.531006
8.206396	2.31934	2.86865	6.10352	0.732422	0.466919	0.512695
8.206456	0.671387	4.21143	2.56348	0.805664	0.613403	0.622559
8.206516	1.89209	2.50244	5.24902	0.723267	0.704956	0.531006
8.206576	0.976563	3.17383	5.37109	0.668335	0.494385	0.421143
8.206636	2.01416	2.31934	5.00488	0.668335	0.732422	0.521851
8.206696	1.46484	2.56348	3.17383	0.704956	0.604248	0.65918
8.206756	0.366211	3.2959	5.12695	0.686646	0.540161	0.274658
8.206816	1.70898	2.44141	6.46973	0.631714	0.778198	0.67749
8.206876	1.52588	2.68555	3.2959	0.970459	0.67749	0.595093
8.206936	1.83105	2.92969	6.34766	0.759888	0.622559	0.274658
8.206996	1.64795	2.62451	5.49316	0.741577	0.549316	0.622559
8.207056	0.610352	3.72314	3.54004	0.769043	0.668335	0.805664
8.207116	2.31934	2.68555	6.46973	0.604248	0.842285	0.421143
8.207176	1.28174	2.80762	3.41797	0.631714	0.65918	0.411987
8.207236	1.2207	2.31934	2.19727	0.778198	0.732422	0.549316
8.207296	2.62451	1.15967	8.05664	0.750732	0.704956	0.466919
8.207356	1.46484	3.2959	5.85938	0.695801	0.67749	0.283813
8.207416	2.68555	3.17383	3.41797	0.933838	0.732422	0.695801
8.207476	0.976563	5.24902	9.64355	0.759888	0.476074	0.274658
8.207536	1.46484	2.86865	6.34766	0.67749	0.595093	0.558472
8.207596	1.58691	2.62451	2.31934	0.65918	0.65918	0.595093
8.207656	2.19727	2.74658	5.7373	0.595093	0.540161	0.540161
8.207716	2.0752	2.38037	3.90625	0.613403	0.613403	0.558472
8.207776	1.40381	2.2583	3.41797	0.668335	0.714111	0.622559
8.207836	2.0752	3.2959	4.5166	0.759888	0.604248	0.384521
8.207896	1.83105	2.99072	6.10352	0.668335	0.613403	0.540161
8.207956	1.40381	3.2959	4.39453	0.787354	0.521851	0.476074
8.208016	1.70898	3.35693	4.5166	0.723267	0.650024	0.521851
8.208076	2.13623	4.21143	3.78418	0.613403	0.631714	0.640869
8.208136	2.31934	2.0752	3.78418	0.631714	0.567627	0.650024
8.208196	1.89209	2.86865	2.56348	0.750732	0.540161	0.622559
8.208256	1.89209	2.74658	3.2959	0.732422	0.83313	0.67749
8.208316	1.95313	2.74658	3.54004	0.732422	0.668335	0.631714
8.208376	1.64795	3.2959	3.2959	0.85144	0.50354	0.32959
8.208436	1.83105	2.92969	7.20215	0.695801	0.512695	0.402832
8.208496	0.610352	3.60107	4.15039	0.750732	0.604248	0.67749
8.208556	0.854492	2.99072	6.22559	0.842285	0.622559	0.311279
8.208616	1.28174	3.17383	5.24902	0.65918	0.640869	0.402832
8.208676	1.64795	3.17383	2.92969	0.759888	0.604248	0.695801
8.208736	1.89209	2.44141	6.22559	0.814819	0.650024	0.476074
8.208796	1.83105	3.60107	6.83594	0.769043	0.476074	0.393677
8.208856	2.0752	3.72314	3.90625	0.631714	0.476074	0.723267
8.208916	2.31934	2.86865	5.12695	0.732422	0.558472	0.549316
8.208976	1.34277	3.78418	5.98145	0.787354	0.531006	0.448608
8.209036	1.28174	3.84521	4.5166	0.622559	0.622559	0.613403
8.209096	2.2583	3.2959	2.80762	0.778198	0.622559	0.567627
