,time,Fx,Fy,Fz,Mx,My,Mz
0,16.50651,0.488281,2.38037,12.3291,0.997925,0.622559,0.723267
1,16.50657,-0.427246,2.99072,12.4512,0.888062,0.83313,0.485229
2,16.50663,0.732422,1.95313,12.9395,0.997925,0.952148,0.67749
3,16.50669,-0.366211,3.60107,12.6953,1.06201,0.769043,0.567627
4,16.50675,0.427246,2.38037,13.6719,0.842285,0.906372,0.595093
5,16.50681,-0.183105,2.19727,8.78906,1.17188,0.723267,0.622559
6,16.50687,-0.305176,2.2583,12.9395,0.869751,0.723267,0.723267
7,16.50693,0.549316,2.50244,14.8926,0.897217,0.952148,0.375366
8,16.50699,0.915527,1.70898,13.916,1.03455,0.613403,0.732422
9,16.50705,0.183105,3.2959,14.1602,0.842285,0.769043,0.494385
10,16.50711,1.09863,1.40381,14.2822,1.08948,0.714111,0.631714
11,16.50717,-0.427246,3.17383,14.8926,0.888062,0.823975,0.531006
12,16.50723,1.15967,2.38037,13.5498,0.942993,0.604248,0.787354
13,16.50729,-0.488281,3.11279,13.4277,0.970459,0.714111,0.3479
14,16.50735,0.976563,2.13623,14.6484,0.970459,0.814819,0.750732
15,16.50741,0.244141,3.05176,12.6953,1.00708,0.723267,0.604248
16,16.50747,0.793457,1.83105,15.3809,0.888062,0.796509,0.430298
17,16.50753,0.610352,2.74658,10.8643,0.915527,0.585938,0.741577
18,16.50759,-0.305176,2.38037,14.1602,0.906372,0.85144,0.375366
19,16.50765,0.854492,1.77002,13.3057,0.961304,0.750732,0.750732
20,16.50771,-0.244141,3.54004,11.2305,1.01624,0.952148,0.668335
21,16.50777,0.610352,2.19727,16.4795,0.83313,0.65918,0.668335
22,16.50783,-0.427246,3.66211,11.2305,0.997925,0.842285,0.549316
23,16.50789,0.976563,1.83105,13.916,0.970459,0.778198,0.695801
24,16.50795,0.0,2.68555,13.0615,0.823975,0.750732,0.384521
25,16.50801,1.83105,2.62451,12.9395,1.07117,0.723267,0.814819
26,16.50807,-0.0610352,1.52588,15.9912,0.814819,0.750732,0.65918
27,16.50813,0.12207,3.78418,12.085,0.970459,0.778198,0.402832
28,16.50819,0.427246,1.77002,10.376,0.970459,0.723267,0.476074
29,16.50825,-0.793457,3.11279,11.9629,0.98877,0.695801,0.704956
30,16.50831,0.732422,2.44141,14.5264,0.878906,0.869751,0.494385
31,16.50837,0.183105,3.35693,11.5967,1.1261,0.759888,0.723267
32,16.50843,0.976563,2.2583,15.8691,0.778198,0.823975,0.466919
33,16.50849,0.549316,2.44141,10.6201,1.02539,0.65918,0.732422
34,16.50855,0.12207,2.68555,14.5264,0.869751,0.823975,0.411987
35,16.50861,0.915527,2.74658,12.5732,0.961304,0.604248,0.897217
36,16.50867,-0.549316,2.92969,12.4512,0.952148,0.67749,0.521851
37,16.50873,-0.244141,2.2583,13.4277,0.787354,0.869751,0.466919
38,16.50879,0.671387,1.95313,16.9678,0.787354,0.759888,0.778198
39,16.50885,-0.12207,3.35693,11.3525,1.15356,0.750732,0.531006
40,16.50891,-0.488281,2.2583,13.4277,0.769043,0.805664,0.549316
41,16.50897,1.52588,2.0752,11.5967,0.906372,0.704956,0.65918
42,16.50903,-0.183105,3.11279,13.6719,1.14441,0.585938,0.686646
43,16.50909,0.305176,4.3335,10.7422,0.979614,0.814819,0.732422
44,16.50915,1.40381,3.72314,13.7939,0.83313,0.631714,0.576782
45,16.50921,0.366211,2.56348,14.8926,0.668335,0.787354,0.604248
46,16.50927,0.12207,2.38037,10.6201,0.842285,0.952148,0.631714
47,16.50933,-0.183105,1.77002,12.6953,1.0437,0.732422,0.531006
48,16.50939,0.366211,1.70898,13.1836,0.933838,0.714111,0.558472
49,16.50945,0.0,2.80762,12.8174,0.997925,0.714111,0.494385
50,16.50951,0.12207,2.50244,16.1133,1.03455,0.567627,0.393677
51,16.50957,0.12207,4.5166,14.7705,1.05286,0.723267,0.393677
52,16.50963,0.793457,2.80762,12.8174,0.961304,0.67749,0.741577
53,16.50969,-0.305176,3.35693,13.4277,0.869751,0.704956,0.585938
54,16.50975,0.610352,2.80762,12.8174,0.952148,0.933838,0.787354
55,16.50981,-0.549316,2.68555,12.4512,1.02539,0.814819,0.622559
56,16.50987,-0.244141,2.2583,13.916,0.961304,0.759888,0.622559
57,16.50993,0.244141,2.44141,11.8408,1.0437,0.878906,0.531006
58,16.50999,0.366211,1.77002,17.5781,0.85144,0.750732,0.85144
59,16.51005,-0.0610352,3.41797,16.4795,0.83313,0.67749,0.494385
60,16.51011,0.915527,2.92969,12.4512,0.979614,0.759888,0.558472
61,16.51017,0.183105,3.41797,14.0381,0.842285,0.750732,0.787354
62,16.51023,0.366211,2.44141,12.9395,1.00708,0.83313,0.512695
63,16.51029,0.244141,2.99072,12.4512,1.0437,0.787354,0.714111
64,16.51035,0.488281,2.74658,12.3291,0.888062,0.842285,0.521851
65,16.51041,0.366211,1.95313,13.916,1.0437,0.732422,0.558472
66,16.51047,0.0,2.74658,12.8174,1.0437,0.741577,0.549316
67,16.51053,0.732422,2.74658,13.6719,0.897217,0.750732,0.631714
68,16.51059,0.0610352,2.50244,14.1602,0.942993,0.741577,0.485229
69,16.51065,-0.183105,2.56348,11.9629,0.924683,0.83313,0.741577
70,16.51071,0.488281,2.50244,15.0146,0.970459,0.769043,0.595093
71,16.51077,-0.366211,3.17383,12.5732,1.21765,0.869751,0.521851
72,16.51083,0.366211,2.99072,14.6484,0.924683,0.759888,0.686646
73,16.51089,-0.12207,3.78418,13.5498,0.970459,0.65918,0.567627
74,16.51095,0.915527,2.56348,14.0381,0.942993,0.723267,0.402832
75,16.51101,0.732422,2.01416,12.8174,1.03455,0.796509,0.640869
76,16.51107,0.305176,2.38037,13.4277,0.897217,0.650024,0.485229
77,16.51113,0.305176,2.80762,13.916,0.979614,0.723267,0.576782
78,16.51119,0.488281,3.23486,13.1836,0.897217,0.750732,0.567627
79,16.51125,1.09863,3.41797,14.5264,0.878906,0.750732,0.769043
80,16.51131,0.915527,3.60107,10.7422,0.860596,0.897217,0.695801
81,16.51137,0.427246,1.64795,12.8174,1.08032,0.823975,0.714111
82,16.51143,0.366211,2.74658,14.5264,0.778198,0.714111,0.549316
83,16.51149,0.427246,2.0752,12.6953,1.00708,0.796509,0.576782
84,16.51155,-0.366211,2.44141,13.5498,0.888062,0.750732,0.439453
85,16.51161,0.305176,3.78418,12.9395,0.924683,0.567627,0.567627
86,16.51167,0.305176,2.68555,12.6953,0.897217,0.814819,0.759888
87,16.51173,0.549316,2.86865,12.4512,0.906372,0.769043,0.67749
88,16.51179,0.0,3.05176,11.4746,1.02539,0.778198,0.357056
89,16.51185,-0.12207,2.86865,12.085,1.02539,0.805664,0.210571
90,16.51191,0.0,3.60107,12.085,0.842285,0.732422,0.732422
91,16.51197,0.732422,3.17383,12.207,0.814819,0.842285,0.50354
92,16.51203,-0.0610352,3.2959,10.9863,0.952148,0.888062,0.558472
93,16.51209,0.854492,2.68555,11.4746,0.924683,0.83313,0.558472
94,16.51215,-0.793457,3.23486,10.6201,0.997925,0.85144,0.3479
95,16.51221,-0.0610352,4.15039,12.085,1.02539,0.585938,0.67749
96,16.51227,0.854492,2.19727,14.1602,0.686646,0.650024,0.942993
97,16.51233,-0.488281,2.92969,14.0381,0.83313,0.759888,0.265503
98,16.51239,0.854492,1.09863,12.085,1.11694,0.622559,0.741577
99,16.51245,-0.976563,3.2959,13.7939,0.897217,0.723267,0.466919
100,16.51251,0.671387,2.80762,13.1836,0.842285,0.714111,0.375366
101,16.51257,1.28174,2.2583,13.916,0.704956,0.897217,0.732422
102,16.51263,-0.549316,2.86865,10.1318,1.00708,0.704956,0.604248
103,16.51269,-0.915527,3.60107,12.9395,1.07117,0.814819,0.512695
104,16.51275,0.244141,2.01416,12.207,0.952148,0.924683,0.384521
105,16.51281,0.366211,2.50244,12.3291,0.915527,0.512695,0.695801
106,16.51287,0.183105,2.74658,10.8643,0.952148,0.65918,0.668335
107,16.51293,0.0610352,2.0752,10.8643,0.970459,0.924683,0.567627
108,16.51299,0.305176,2.0752,15.7471,0.83313,0.796509,0.494385
109,16.51305,0.915527,2.86865,11.5967,0.942993,0.750732,0.576782
110,16.51311,-1.2207,3.17383,12.8174,0.98877,0.695801,0.723267
111,16.51317,-0.854492,2.86865,13.7939,0.814819,0.823975,0.402832
112,16.51323,0.305176,1.46484,14.4043,0.860596,0.741577,0.311279
113,16.51329,-0.183105,2.68555,11.7188,1.07117,0.595093,0.759888
114,16.51335,-0.183105,3.17383,12.6953,0.942993,0.640869,0.732422
115,16.51341,0.427246,2.56348,13.0615,0.970459,0.860596,0.421143
116,16.51347,-0.0610352,1.95313,13.916,1.00708,0.704956,0.704956
117,16.51353,0.0,3.11279,10.376,0.952148,0.759888,0.567627
118,16.51359,-0.671387,1.95313,12.4512,0.942993,0.814819,0.531006
119,16.51365,-0.244141,3.2959,12.085,0.805664,1.06201,0.759888
120,16.51371,0.305176,2.50244,11.5967,1.01624,0.622559,0.50354
121,16.51377,-0.427246,2.2583,12.5732,0.85144,0.67749,0.576782
122,16.51383,0.732422,3.11279,10.7422,0.970459,0.714111,0.823975
123,16.51389,1.15967,2.62451,14.0381,0.787354,0.860596,0.567627
124,16.51395,0.305176,2.44141,12.207,1.16272,0.759888,0.549316
125,16.51401,0.488281,2.50244,12.5732,1.06201,0.695801,0.668335
126,16.51407,-0.427246,2.2583,15.2588,0.924683,0.640869,0.32959
127,16.51413,0.183105,4.02832,14.5264,0.805664,0.778198,0.585938
128,16.51419,0.244141,2.80762,10.2539,0.98877,0.924683,0.686646
129,16.51425,0.244141,2.01416,13.5498,0.924683,0.631714,0.686646
130,16.51431,-0.732422,3.2959,10.9863,0.961304,0.924683,0.640869
131,16.51437,0.366211,3.17383,13.4277,0.878906,0.631714,0.567627
132,16.51443,0.610352,2.2583,11.1084,0.787354,0.67749,0.695801
133,16.51449,0.12207,1.95313,11.2305,0.85144,0.842285,0.512695
134,16.51455,0.244141,2.38037,14.6484,0.823975,0.631714,0.83313
135,16.51461,0.0610352,2.68555,14.4043,0.759888,0.695801,0.494385
136,16.51467,-0.305176,2.62451,11.8408,1.09863,0.778198,0.521851
137,16.51473,-0.0610352,3.2959,13.7939,0.85144,0.778198,0.695801
138,16.51479,1.15967,1.83105,10.9863,1.0437,0.686646,0.640869
139,16.51485,0.0610352,2.31934,12.4512,1.10779,0.85144,0.695801
140,16.51491,1.09863,2.13623,14.7705,0.805664,0.778198,0.338745
141,16.51497,0.366211,1.58691,11.4746,0.860596,0.714111,0.604248
142,16.51503,0.0,2.86865,7.93457,1.11694,0.787354,0.549316
143,16.51509,0.610352,2.01416,12.085,0.759888,0.888062,0.723267
144,16.51515,-1.09863,3.54004,12.085,1.13525,0.704956,0.393677
145,16.51521,0.671387,2.62451,14.0381,0.814819,0.778198,0.704956
146,16.51527,0.915527,2.92969,13.0615,0.933838,0.640869,0.769043
147,16.51533,0.0610352,2.2583,11.5967,0.897217,0.878906,0.430298
148,16.51539,1.2207,1.77002,12.4512,1.00708,0.622559,0.814819
149,16.51545,0.305176,1.95313,11.9629,0.85144,0.759888,0.448608
150,16.51551,0.366211,2.56348,12.9395,0.85144,0.531006,0.411987
151,16.51557,0.183105,3.11279,11.2305,1.03455,0.814819,0.430298
152,16.51563,0.12207,2.38037,14.0381,0.869751,0.741577,0.521851
153,16.51569,-0.976563,3.54004,12.8174,0.98877,0.823975,0.512695
154,16.51575,0.793457,2.31934,12.8174,1.03455,0.741577,0.750732
155,16.51581,0.244141,3.17383,12.8174,0.906372,0.823975,0.448608
156,16.51587,0.915527,2.50244,11.5967,0.869751,0.796509,0.704956
157,16.51593,-0.12207,2.86865,10.0098,1.03455,0.869751,0.512695
158,16.51599,0.305176,2.2583,14.2822,0.778198,0.650024,0.714111
159,16.51605,-0.427246,3.2959,13.5498,1.01624,0.860596,0.448608
160,16.51611,0.366211,2.92969,12.9395,0.98877,0.769043,0.540161
161,16.51617,0.732422,2.74658,12.5732,0.952148,0.769043,0.494385
162,16.51623,0.0610352,2.01416,10.9863,1.01624,0.83313,0.585938
163,16.51629,-0.12207,1.83105,15.3809,0.915527,0.750732,0.65918
164,16.51635,0.610352,2.50244,12.9395,0.933838,0.814819,0.466919
165,16.51641,0.305176,1.64795,13.0615,1.05286,0.805664,0.466919
166,16.51647,-0.488281,3.23486,11.5967,0.814819,0.933838,0.585938
167,16.51653,0.854492,2.62451,12.085,0.915527,0.769043,0.476074
168,16.51659,-0.427246,2.56348,12.207,1.06201,0.65918,0.567627
169,16.51665,0.305176,2.44141,13.3057,0.787354,0.787354,0.67749
170,16.51671,0.12207,3.17383,11.1084,0.970459,0.778198,0.485229
171,16.51677,0.427246,3.17383,14.0381,0.787354,0.915527,0.540161
172,16.51683,1.09863,2.86865,13.0615,0.933838,0.695801,0.897217
173,16.51689,0.183105,2.92969,13.3057,0.888062,0.549316,0.576782
174,16.51695,-0.0610352,3.11279,10.498,0.897217,0.631714,0.640869
175,16.51701,0.610352,2.74658,14.2822,0.915527,0.823975,0.668335
176,16.51707,-0.732422,3.11279,11.4746,0.933838,0.650024,0.311279
177,16.51713,0.12207,2.0752,11.9629,0.98877,0.695801,0.796509
178,16.51719,-0.549316,2.92969,12.3291,0.933838,0.814819,0.448608
179,16.51725,0.366211,2.2583,12.8174,1.05286,0.686646,0.668335
180,16.51731,0.610352,2.80762,8.54492,0.952148,0.970459,0.439453
181,16.51737,0.671387,1.77002,12.3291,0.961304,0.558472,0.732422
182,16.51743,0.0,3.11279,14.5264,0.842285,0.924683,0.430298
183,16.51749,0.427246,2.2583,12.085,1.07117,0.787354,0.695801
184,16.51755,-0.671387,3.11279,14.2822,0.787354,0.695801,0.457764
185,16.51761,0.610352,1.89209,12.4512,1.00708,0.723267,0.631714
186,16.51767,-0.488281,3.479,12.207,1.03455,0.85144,0.567627
187,16.51773,1.09863,1.70898,15.5029,0.787354,0.750732,0.668335
188,16.51779,-0.183105,2.92969,12.3291,1.08948,0.595093,0.411987
189,16.51785,0.854492,2.2583,14.4043,0.98877,0.787354,0.723267
190,16.51791,0.549316,3.17383,13.6719,0.741577,0.83313,0.567627
191,16.51797,0.12207,2.50244,12.9395,1.07117,0.778198,0.540161
192,16.51803,0.427246,2.62451,12.8174,0.860596,0.65918,0.549316
193,16.51809,-0.305176,2.44141,12.5732,0.906372,0.842285,0.521851
194,16.51815,-0.0610352,1.46484,12.4512,1.05286,0.613403,0.67749
195,16.51821,0.244141,2.92969,14.5264,0.83313,0.979614,0.714111
196,16.51827,1.34277,2.0752,15.5029,0.83313,0.668335,0.549316
197,16.51833,-0.549316,3.05176,11.3525,0.942993,0.778198,0.421143
198,16.51839,1.58691,1.95313,13.916,0.906372,0.732422,0.741577
199,16.51845,0.0,3.2959,8.66699,0.98877,0.650024,0.439453
200,16.51851,0.610352,2.80762,14.2822,0.83313,0.759888,0.631714
201,16.51857,0.183105,2.74658,9.15527,1.10779,0.686646,0.668335
202,16.51863,-0.12207,2.62451,14.4043,0.83313,0.942993,0.430298
203,16.51869,0.793457,2.31934,9.64355,0.906372,0.805664,0.613403
204,16.51875,-0.12207,2.62451,10.8643,1.1261,0.695801,0.67749
205,16.51881,1.28174,2.31934,14.1602,0.769043,0.668335,0.485229
206,16.51887,1.0376,2.0752,10.2539,1.08948,0.714111,0.85144
207,16.51893,-0.244141,3.11279,15.7471,0.933838,0.970459,0.357056
208,16.51899,0.671387,2.0752,14.4043,0.924683,0.650024,0.558472
209,16.51905,-0.671387,3.60107,11.9629,1.02539,0.668335,0.686646
210,16.51911,-1.15967,4.21143,12.6953,0.942993,0.67749,0.604248
211,16.51917,0.793457,3.479,15.1367,0.750732,0.83313,0.411987
212,16.51923,0.671387,2.74658,10.1318,0.869751,0.897217,0.549316
213,16.51929,1.46484,1.95313,13.916,0.869751,0.650024,0.842285
214,16.51935,0.427246,2.56348,13.6719,0.915527,0.970459,0.604248
215,16.51941,0.0,3.17383,12.5732,1.15356,0.787354,0.65918
216,16.51947,0.610352,2.74658,14.8926,0.970459,0.668335,0.549316
217,16.51953,-0.427246,3.35693,12.3291,1.10779,0.695801,0.457764
218,16.51959,0.12207,3.90625,12.085,0.924683,0.814819,0.631714
219,16.51965,0.854492,2.86865,13.1836,0.860596,0.631714,0.741577
220,16.51971,0.427246,2.19727,15.5029,0.897217,0.842285,0.531006
221,16.51977,1.28174,2.56348,12.4512,0.897217,0.778198,0.814819
222,16.51983,0.610352,2.68555,14.0381,0.952148,0.787354,0.439453
223,16.51989,0.732422,2.0752,13.3057,1.02539,0.952148,0.604248
224,16.51995,0.244141,2.86865,12.3291,0.997925,0.778198,0.631714
225,16.52001,-0.0610352,2.56348,13.1836,1.00708,0.686646,0.402832
226,16.52007,-0.183105,3.17383,13.4277,1.00708,0.704956,0.411987
227,16.52013,-0.244141,3.17383,11.8408,0.915527,0.924683,0.604248
228,16.52019,0.305176,2.44141,12.9395,0.961304,0.585938,0.50354
229,16.52025,1.52588,2.92969,13.1836,0.906372,0.860596,0.668335
230,16.52031,0.671387,2.2583,12.207,0.970459,0.814819,0.650024
231,16.52037,0.610352,2.68555,13.6719,0.970459,0.778198,0.558472
232,16.52043,0.488281,2.50244,12.5732,0.979614,0.787354,0.622559
233,16.52049,0.793457,2.92969,15.3809,0.85144,0.85144,0.842285
234,16.52055,0.549316,3.66211,16.4795,0.961304,0.65918,0.567627
235,16.52061,0.366211,2.62451,11.7188,1.07117,0.906372,0.512695
236,16.52067,0.183105,3.11279,16.6016,0.869751,0.67749,0.531006
237,16.52073,-0.183105,2.44141,13.4277,0.924683,0.759888,0.686646
238,16.52079,1.64795,2.19727,14.0381,1.00708,0.860596,0.723267
239,16.52085,0.427246,2.50244,16.1133,1.07117,0.869751,0.558472
