Index,Value_1,Value_2,Value_3
2.64215771432e-05,136.05226,337.26136,309.20924
2.65944381432e-05,144.41742,343.36504,323.1842
2.67672991432e-05,142.17214,343.80798,310.09789
2.69401601432e-05,127.05659,342.60619,303.71284
2.71130211432e-05,137.54057,341.05111,311.58256
2.72858821432e-05,141.95663,347.66262,323.36296
2.74587431432e-05,143.66977,350.38546,303.95838
2.76316041432e-05,144.64243,340.80204,302.07902
2.78044651432e-05,132.60246,337.50762,282.44808
2.79773261432e-05,165.4485,354.8341,328.74818
2.81501871432e-05,141.45657,346.8828,313.80659
2.83230481432e-05,151.02146,341.57474,325.90108
2.84959091432e-05,154.78163,347.56052,332.81757
2.86687701432e-05,157.45167,350.38489,337.96303
2.88416311432e-05,161.3966,353.87008,344.67203
2.90144921432e-05,165.69717,358.0343,356.82874
2.91873531432e-05,167.79556,362.42236,368.67842
2.93602141432e-05,153.30355,360.31523,336.97696
2.95330751432e-05,156.5099,350.55986,333.61141
2.97059361432e-05,157.54983,357.5602,340.07782
2.98787971432e-05,148.33331,357.72566,320.92506
3.00516581432e-05,135.30761,351.50902,308.98216
3.02245191432e-05,124.58936,341.24994,305.80493
3.03973801432e-05,132.15221,336.8165,319.08601
3.05702411432e-05,131.62892,332.91965,321.76083
3.07431021432e-05,133.61704,332.97221,328.94498
3.09159631432e-05,139.72142,329.36469,331.20189
3.10888241432e-05,142.78745,335.82998,344.53845
3.12616851432e-05,143.82854,338.65278,331.08993
3.14345461432e-05,147.13913,341.49401,341.85049
3.16074071432e-05,150.76946,343.06446,353.01007
3.17802681432e-05,127.15698,338.01573,311.95121
3.19531291432e-05,137.314,346.30513,301.51772
3.21259901432e-05,119.67504,338.0384,281.23438
3.22988511432e-05,125.63353,331.53061,302.18123
3.24717121432e-05,130.20449,334.90402,311.3377
3.26445731432e-05,126.47365,333.62397,312.0931
3.28174341432e-05,130.72849,338.19929,319.64288
3.29902951432e-05,133.15623,340.52085,321.34246
3.31631561432e-05,138.17433,345.8922,331.05378
3.33360171432e-05,139.92804,349.34649,338.38564
3.35088781432e-05,145.50298,349.82622,349.01184
3.36817391432e-05,135.13175,337.99871,305.11773
3.38546001432e-05,144.52924,334.46575,313.55088
3.40274611432e-05,150.5833,340.18713,323.6728
3.42003221432e-05,151.3674,341.55619,327.24095
3.43731831432e-05,141.96496,335.63839,310.12311
3.45460441432e-05,121.70369,326.5652,292.30633
3.47189051432e-05,117.08736,325.69308,291.30033
3.48917661432e-05,123.13505,322.56066,281.57902
3.50646271432e-05,129.08149,319.17522,303.86855
3.52374881432e-05,114.59367,313.95473,263.91126
3.54103491432e-05,124.33138,319.03477,278.57695
3.55832101432e-05,136.02415,339.73648,322.18518
3.57560711432e-05,139.56322,336.57786,323.76956
3.59289321432e-05,140.80568,342.75248,334.24186
3.61017931432e-05,143.92377,342.30371,339.3753
3.62746541432e-05,145.70251,337.16589,356.68872
3.64475151432e-05,148.62234,344.48471,367.42641
3.66203761432e-05,140.96955,344.71203,360.9029
3.67932371432e-05,149.10434,346.89392,375.34007
3.69660981432e-05,128.30743,337.45083,324.24754
3.71389591432e-05,121.56998,334.82024,325.58503
3.73118201432e-05,102.41505,319.15623,312.73891
3.74846811432e-05,104.20465,314.7946,305.96919
3.76575421432e-05,104.34192,312.68283,311.07114
3.78304031432e-05,103.12595,312.11034,298.5369
3.80032641432e-05,101.42384,312.5963,295.59245
3.81761251432e-05,105.83323,313.67411,299.94739
3.83489861432e-05,108.43862,319.23005,306.86673
3.85218471432e-05,114.52415,317.84494,311.47639
3.86947081432e-05,102.09804,315.02881,292.79432
3.88675691432e-05,107.34038,319.2606,305.1039
3.90404301432e-05,112.19066,312.33653,269.72205
3.92132911432e-05,139.62032,343.10415,342.76718
3.93861521432e-05,150.62318,340.42666,369.49586
3.95590131432e-05,151.61294,340.89358,362.29788
3.97318741432e-05,152.08794,339.9936,367.77058
3.99047351432e-05,154.06725,326.94549,329.21328
4.00775961432e-05,142.60277,324.82894,336.0312
4.02504571432e-05,149.87987,329.29433,350.01766
4.04233181432e-05,133.537,327.06886,330.78798
4.05961791432e-05,133.46992,320.68287,327.60308
4.07690401432e-05,126.73042,320.9449,313.62969
4.09419011432e-05,119.71449,318.96423,313.07676
4.11147621432e-05,120.38614,316.81049,277.50144
4.12876231432e-05,125.01987,320.65007,279.20916
4.14604841432e-05,121.07063,317.54782,269.26982
4.16333451432e-05,151.28398,332.48536,358.17173
4.18062061432e-05,159.28849,335.56044,376.72704
4.19790671432e-05,155.71548,338.08401,369.22124
4.21519281432e-05,163.14881,344.06991,380.88473
4.23247891432e-05,142.77811,340.74665,361.89783
4.24976501432e-05,141.18043,336.80956,342.34543
4.26705111432e-05,129.66025,340.90305,370.91628
4.28433721432e-05,136.75912,335.76344,381.21793
4.30162331432e-05,139.36106,334.41627,384.38619
4.31890941432e-05,143.50474,334.64935,356.96535
4.33619551432e-05,145.54617,342.7111,371.68119
4.35348161432e-05,139.59693,343.52191,345.75691
4.37076771432e-05,138.06289,342.23975,348.38059
4.38805381432e-05,133.77351,338.14859,376.96172
4.40533991432e-05,148.91862,324.78673,338.52197
4.42262601432e-05,154.98199,322.93128,352.9976
4.43991211432e-05,140.45091,318.57651,349.70743
4.45719821432e-05,147.89361,324.04058,359.70872
4.47448431432e-05,151.948,325.61412,369.78175
4.49177041432e-05,155.97233,327.03821,369.98156
4.50905651432e-05,160.81514,332.56879,375.84468
4.52634261432e-05,156.73184,329.18969,338.0088
4.54362871432e-05,160.5463,331.83116,347.68692
4.56091481432e-05,165.67851,336.61764,357.48156
4.57820091432e-05,169.96454,339.62199,366.55372
4.59548701432e-05,140.32295,332.04021,322.26381
4.61277311432e-05,142.01257,320.50673,277.63768
4.63005921432e-05,140.07184,321.24346,279.01041
4.64734531432e-05,121.71262,307.24811,276.36395
4.66463141432e-05,125.53076,345.21695,321.74402
4.68191751432e-05,132.12498,342.85299,335.45521
4.69920361432e-05,136.39669,325.96287,307.20721
4.71648971432e-05,127.52709,318.91395,282.71035
4.73377581432e-05,144.1378,323.23567,335.84252
4.75106191432e-05,129.89656,323.02606,293.15742
4.76834801432e-05,137.76386,321.72254,314.62338
4.78563411432e-05,142.05737,333.28188,319.91804
4.80292021432e-05,145.0864,336.01867,325.23502
4.82020631432e-05,120.24006,331.76903,306.98772
4.83749241432e-05,128.11807,333.03427,330.2958
4.85477851432e-05,124.22041,330.94549,333.54928
4.87206461432e-05,131.89283,336.8747,335.65634
4.88935071432e-05,132.75194,339.79854,336.51276
4.90663681432e-05,123.94994,337.35782,338.06886
4.92392291432e-05,133.53305,340.60335,345.55682
4.94120901432e-05,116.92672,331.04019,315.28531
4.95849511432e-05,128.78254,337.93592,331.74025
4.97578121432e-05,130.09139,338.12102,317.10271
4.99306731432e-05,131.20985,328.68858,304.83869
5.01035341432e-05,130.68377,332.22444,305.40319
5.02763951432e-05,119.07445,323.1822,282.89073
5.04492561432e-05,104.53497,314.49341,262.35902
5.06221171432e-05,109.52178,310.09072,266.11904
5.07949781432e-05,111.69462,311.15703,270.51194
5.09678391432e-05,114.09063,306.41627,270.66443
5.11407001432e-05,119.0609,308.95756,279.24241
5.13135611432e-05,106.37633,306.60982,261.40982
5.14864221432e-05,105.31303,302.4193,247.33573
5.16592831432e-05,105.39647,303.16235,246.76128
5.18321441432e-05,159.76751,353.87884,385.26677
5.20050051432e-05,161.57027,343.52689,403.33205
5.21778661432e-05,167.10791,342.47998,393.67989
5.23507271432e-05,172.05585,342.58045,388.34979
5.25235881432e-05,157.52075,340.59701,368.16327
5.26964491432e-05,143.78325,342.1299,329.17954
5.28693101432e-05,157.79037,338.96741,364.36533
5.30421711432e-05,156.05092,341.46261,361.27396
5.32150321432e-05,149.0121,329.19441,354.97787
5.33878931432e-05,143.97855,331.43813,345.53253
5.35607541432e-05,150.37458,333.10096,361.59117
5.37336151432e-05,140.14487,331.56066,345.47236
5.39064761432e-05,131.74703,321.51397,300.49446
5.40793371432e-05,136.37624,325.69119,316.10238
5.42521981432e-05,141.88462,353.46898,341.50617
5.44250591432e-05,157.16495,347.42073,369.53848
5.45979201432e-05,156.47372,344.76309,382.29968
5.47707811432e-05,146.26015,340.20054,363.12436
5.49436421432e-05,145.49259,333.99616,359.3658
5.51165031432e-05,152.6486,335.94105,359.05317
5.52893641432e-05,157.35256,347.25138,377.37675
5.54622251432e-05,160.07857,349.47352,364.2991
5.56350861432e-05,141.58462,336.50399,337.92673
5.58079471432e-05,151.48466,337.16382,348.74264
5.59808081432e-05,154.06944,344.0633,360.74268
5.61536691432e-05,150.4295,341.13721,325.12972
5.63265301432e-05,154.35615,339.86276,339.08095
5.64993911432e-05,158.08142,338.99299,355.88865
5.66722521432e-05,124.74302,339.57823,305.59241
5.68451131432e-05,142.28347,335.97267,343.7067
5.70179741432e-05,145.76653,342.19996,354.70572
5.71908351432e-05,139.53706,330.52285,315.00032
5.73636961432e-05,129.98126,330.67941,312.09774
5.75365571432e-05,125.41546,343.62031,365.58579
5.77094181432e-05,129.32786,345.01335,362.40407
5.78822791432e-05,132.32908,350.96526,370.34425
5.80551401432e-05,137.96018,353.61128,381.69035
5.82280011432e-05,129.30081,354.84178,371.2751
5.84008621432e-05,136.31098,335.9066,307.12566
5.85737231432e-05,134.36269,336.80379,302.22072
5.87465841432e-05,134.56822,335.53376,320.22608
5.89194451432e-05,116.31273,335.76437,301.25517
5.90923061432e-05,122.29727,341.71259,312.91314
5.92651671432e-05,121.62567,328.65728,289.1828
5.94380281432e-05,123.17742,331.97902,302.47865
5.96108891432e-05,124.81262,332.25958,308.9932
5.97837501432e-05,146.63693,335.1912,360.46397
5.99566111432e-05,159.04049,336.66096,388.33377
6.01294721432e-05,154.60638,338.84493,390.41556
6.03023331432e-05,157.67955,328.79375,341.84571
6.04751941432e-05,163.04738,335.17654,382.12004
6.06480551432e-05,170.87642,334.04285,364.25761
6.08209161432e-05,174.67285,338.95966,383.24481
6.09937771432e-05,168.00699,338.67484,370.86431
6.11666381432e-05,150.48625,328.12786,333.80503
6.13394991432e-05,139.82318,325.2255,312.98656
6.15123601432e-05,140.08965,321.95793,290.26934
6.16852211432e-05,129.63918,315.0449,283.40502
6.18580821432e-05,130.73073,314.92921,292.57997
6.20309431432e-05,122.97898,314.19243,266.57655
6.22038041432e-05,123.67061,317.56871,279.4161
6.23766651432e-05,140.3175,334.60572,360.05029
6.25495261432e-05,145.49387,334.88184,368.01583
6.27223871432e-05,148.34167,342.22588,375.3441
6.28952481432e-05,151.69162,339.21495,362.17226
6.30681091432e-05,153.8993,345.40048,370.80287
6.32409701432e-05,157.64379,344.25603,383.98786
6.34138311432e-05,163.0931,349.26074,384.82965
6.35866921432e-05,152.77423,347.83241,353.1809
6.37595531432e-05,163.25059,349.5658,347.40916
6.39324141432e-05,154.43557,348.74153,325.83624
6.41052751432e-05,148.54155,348.8829,328.46369
6.42781361432e-05,148.72781,348.3367,333.51481
6.44509971432e-05,135.29714,343.95485,326.85923
6.46238581432e-05,120.57109,342.32111,296.72736
6.47967191432e-05,125.39367,328.86771,299.29944
6.49695801432e-05,130.56901,335.94097,311.76608
6.51424411432e-05,128.00713,334.43298,299.64481
6.53153021432e-05,148.74655,348.79974,360.48007
6.54881631432e-05,150.69775,351.25825,403.59852
6.56610241432e-05,156.40365,354.86151,414.69069
6.58338851432e-05,159.99949,352.60163,403.94659
6.60067461432e-05,152.71998,356.90508,400.74268
6.61796071432e-05,158.11791,344.65158,358.94694
6.63524681432e-05,165.53718,349.19329,382.00336
6.65253291432e-05,166.64516,344.69484,380.24361
6.66981901432e-05,161.67874,349.5008,373.40023
6.68710511432e-05,123.54339,332.19428,330.85747
6.70439121432e-05,137.98588,335.3431,306.35891
6.72167731432e-05,150.08182,336.0547,332.15525
6.73896341432e-05,151.07153,340.59986,336.623
6.75624951432e-05,153.97915,336.58072,342.71214
6.77353561432e-05,156.30649,342.00001,337.17673
6.79082171432e-05,161.37351,347.22664,354.30219
6.80810781432e-05,164.25502,352.33461,363.35617
6.82539391432e-05,145.88503,342.13646,325.31455
6.84268001432e-05,157.38355,334.57441,360.87376
6.85996611432e-05,160.29163,337.59364,365.99362
6.87725221432e-05,154.1063,335.38948,359.82231
6.89453831432e-05,133.1014,316.19422,280.65268
6.91182441432e-05,143.62159,319.04765,305.88911
6.92911051432e-05,146.86836,327.61379,313.57544
6.94639661432e-05,149.7823,328.43619,323.36065
6.96368271432e-05,139.44785,318.82286,303.33733
6.98096881432e-05,147.16318,322.8519,325.4194
6.99825491432e-05,142.85891,325.76004,315.58059
7.01554101432e-05,150.47199,325.24646,331.92844
7.03282711432e-05,152.43559,334.62587,356.76276
7.05011321432e-05,156.55276,334.7203,341.98881
7.06739931432e-05,159.8657,339.31808,354.32355
7.08468541432e-05,159.45883,340.20549,322.79776
7.10197151432e-05,150.84772,333.35668,296.8642
7.11925761432e-05,139.25468,330.89904,293.4373
7.13654371432e-05,145.65467,336.47062,304.84472
7.15382981432e-05,131.11273,335.08121,303.3096
7.17111591432e-05,144.40027,327.9573,324.99383
7.18840201432e-05,150.15582,330.46303,333.36194
7.20568811432e-05,152.24843,330.55109,341.93897
7.22297421432e-05,159.02333,327.5648,345.70205
7.24026031432e-05,155.75521,327.93224,349.04821
7.25754641432e-05,163.7252,333.64889,365.56502
7.27483251432e-05,161.4691,338.94753,368.99993
7.29211861432e-05,152.92352,336.77386,340.5141
7.30940471432e-05,158.48445,328.28718,339.37001
7.32669081432e-05,159.64372,335.9041,336.96907
7.34397691432e-05,165.34743,333.85125,348.13802
7.36126301432e-05,143.35439,329.79583,305.0673
7.37854911432e-05,132.93669,330.1296,302.87688
7.39583521432e-05,137.3646,327.56355,288.86104
7.41312131432e-05,118.9391,320.96098,277.6068
7.43040741432e-05,127.7923,325.68251,274.77047
7.44769351432e-05,129.22479,334.20004,286.42287
7.46497961432e-05,162.00012,345.70785,350.01404
7.48226571432e-05,159.81018,353.87315,477.60575
