,time,Fx,Fy,Fz,Mx,My,Mz
0,8.201236,1.95313,2.68555,5.12695,0.704956,0.540161,0.466919
1,8.201296,0.671387,2.74658,3.17383,0.796509,0.604248,0.576782
2,8.201356,1.58691,2.44141,4.5166,0.723267,0.531006,0.494385
3,8.201416,2.74658,2.56348,6.83594,0.695801,0.576782,0.549316
4,8.201476,2.2583,3.05176,2.44141,0.668335,0.439453,0.67749
5,8.201536,1.2207,4.39453,2.68555,0.622559,0.668335,0.521851
6,8.201596,1.70898,2.0752,5.24902,0.686646,0.650024,0.338745
7,8.201656,0.610352,3.41797,3.78418,0.723267,0.521851,0.585938
8,8.201716,1.83105,2.62451,4.63867,0.576782,0.723267,0.549316
9,8.201776,2.0752,1.95313,3.41797,0.750732,0.732422,0.640869
10,8.201836,1.52588,1.95313,6.46973,0.723267,0.439453,0.65918
11,8.201896,1.34277,2.68555,3.66211,0.759888,0.723267,0.375366
12,8.201956,0.976563,2.68555,6.83594,0.567627,0.375366,0.421143
13,8.202016,1.40381,3.41797,1.46484,0.604248,0.650024,0.540161
14,8.202076,1.89209,3.2959,2.19727,0.732422,0.732422,0.704956
15,8.202136,1.28174,1.64795,5.24902,0.869751,0.723267,0.485229
16,8.202196,0.366211,2.80762,7.44629,0.750732,0.549316,0.512695
17,8.202256,1.46484,3.17383,4.76074,0.686646,0.558472,0.540161
18,8.202316,1.77002,2.38037,3.78418,0.750732,0.631714,0.668335
19,8.202376,1.46484,2.2583,2.56348,0.668335,0.714111,0.549316
20,8.202436,1.2207,2.68555,5.00488,0.796509,0.540161,0.430298
21,8.202496,1.83105,3.11279,4.76074,0.750732,0.604248,0.540161
22,8.202556,2.74658,3.23486,3.54004,0.704956,0.640869,0.485229
23,8.202616,1.15967,2.92969,3.2959,0.723267,0.549316,0.595093
24,8.202676,1.09863,2.50244,5.49316,0.85144,0.732422,0.439453
25,8.202736,0.976563,3.41797,5.00488,0.466919,0.50354,0.338745
26,8.202796,2.2583,2.38037,4.27246,0.814819,0.823975,0.576782
27,8.202856,0.976563,2.74658,4.88281,0.622559,0.439453,0.402832
28,8.202916,1.77002,2.19727,4.15039,0.585938,0.558472,0.576782
29,8.202976,2.68555,2.62451,1.70898,0.595093,0.531006,0.723267
30,8.203036,0.549316,3.05176,6.34766,0.805664,0.787354,0.521851
31,8.203096,0.366211,3.11279,5.61523,0.723267,0.540161,0.338745
32,8.203156,1.28174,3.90625,3.41797,0.83313,0.65918,0.567627
33,8.203216,1.46484,2.80762,3.54004,0.704956,0.723267,0.50354
34,8.203276,1.28174,1.95313,1.95313,0.668335,0.613403,0.3479
35,8.203336,1.28174,1.09863,4.88281,0.704956,0.439453,0.494385
36,8.203396,0.732422,2.92969,3.2959,0.906372,0.778198,0.622559
37,8.203456,1.89209,4.08936,5.7373,0.769043,0.494385,0.512695
38,8.203516,2.68555,3.66211,6.34766,0.750732,0.32959,0.3479
39,8.203576,1.77002,2.92969,5.61523,0.67749,0.476074,0.421143
40,8.203636,1.83105,3.05176,3.54004,0.695801,0.540161,0.384521
41,8.203696,1.2207,3.23486,4.88281,0.796509,0.576782,0.814819
42,8.203756,1.70898,2.68555,1.58691,0.723267,0.759888,0.357056
43,8.203816,0.366211,2.50244,5.12695,0.65918,0.402832,0.292969
44,8.203876,2.19727,1.95313,3.66211,0.796509,0.595093,0.686646
45,8.203936,0.915527,2.38037,5.61523,0.860596,0.604248,0.384521
46,8.203996,1.2207,3.35693,4.02832,0.576782,0.549316,0.549316
47,8.204056,1.95313,3.60107,3.54004,0.814819,0.540161,0.741577
48,8.204116,1.52588,2.56348,5.61523,0.787354,0.741577,0.668335
49,8.204176,1.28174,2.31934,5.00488,0.512695,0.686646,0.512695
50,8.204236,1.34277,2.2583,4.5166,0.823975,0.668335,0.512695
51,8.204296,0.854492,1.28174,4.39453,0.85144,0.686646,0.494385
52,8.204356,1.83105,2.44141,4.76074,0.750732,0.65918,0.549316
53,8.204416,1.89209,3.479,4.88281,0.805664,0.704956,0.476074
54,8.204476,0.793457,2.31934,4.15039,0.906372,0.750732,0.494385
55,8.204536,1.89209,2.99072,5.37109,0.714111,0.466919,0.576782
56,8.204596,1.2207,3.78418,5.24902,0.604248,0.695801,0.558472
57,8.204656,1.52588,2.2583,5.7373,0.924683,0.823975,0.558472
58,8.204716,1.2207,2.80762,5.00488,0.521851,0.485229,0.338745
59,8.204776,1.83105,2.62451,5.00488,0.65918,0.613403,0.549316
60,8.204836,1.52588,2.50244,3.41797,0.906372,0.640869,0.686646
61,8.204896,1.09863,3.2959,3.54004,0.668335,0.741577,0.384521
62,8.204956,2.13623,3.35693,3.90625,0.787354,0.366211,0.622559
63,8.205016,1.09863,3.84521,3.05176,0.878906,0.640869,0.732422
64,8.205076,0.915527,3.72314,3.54004,0.714111,0.695801,0.338745
65,8.205136,1.89209,2.44141,6.95801,0.732422,0.576782,0.540161
66,8.205196,0.244141,2.31934,4.88281,0.769043,0.778198,0.613403
67,8.205256,0.854492,2.74658,2.80762,0.695801,0.50354,0.576782
68,8.205316,1.95313,3.479,4.15039,0.622559,0.494385,0.430298
69,8.205376,1.95313,3.35693,5.12695,0.732422,0.576782,0.750732
70,8.205436,2.2583,3.2959,4.15039,0.723267,0.704956,0.402832
71,8.205496,2.62451,3.05176,5.7373,0.640869,0.338745,0.439453
72,8.205556,0.793457,3.54004,2.44141,0.83313,0.842285,0.65918
73,8.205616,1.58691,2.0752,6.22559,0.723267,0.567627,0.421143
74,8.205676,0.610352,3.54004,4.5166,0.67749,0.576782,0.50354
75,8.205736,1.34277,2.68555,5.49316,0.704956,0.704956,0.759888
76,8.205796,1.15967,3.41797,5.12695,0.704956,0.50354,0.512695
77,8.205856,1.83105,3.66211,6.34766,0.448608,0.549316,0.411987
78,8.205916,1.64795,3.60107,2.68555,0.869751,0.549316,0.714111
79,8.205976,1.52588,3.05176,6.10352,0.723267,0.695801,0.650024
80,8.206036,1.46484,4.3335,5.98145,0.668335,0.65918,0.439453
81,8.206096,2.68555,3.23486,4.15039,0.796509,0.485229,0.640869
82,8.206156,0.915527,2.80762,3.2959,0.723267,0.759888,0.604248
83,8.206216,1.77002,2.86865,5.12695,0.860596,0.67749,0.50354
84,8.206276,1.83105,1.95313,6.95801,0.83313,0.631714,0.704956
85,8.206336,1.64795,3.479,5.00488,0.750732,0.741577,0.531006
86,8.206396,2.31934,2.86865,6.10352,0.732422,0.466919,0.512695
87,8.206456,0.671387,4.21143,2.56348,0.805664,0.613403,0.622559
88,8.206516,1.89209,2.50244,5.24902,0.723267,0.704956,0.531006
89,8.206576,0.976563,3.17383,5.37109,0.668335,0.494385,0.421143
90,8.206636,2.01416,2.31934,5.00488,0.668335,0.732422,0.521851
91,8.206696,1.46484,2.56348,3.17383,0.704956,0.604248,0.65918
92,8.206756,0.366211,3.2959,5.12695,0.686646,0.540161,0.274658
93,8.206816,1.70898,2.44141,6.46973,0.631714,0.778198,0.67749
94,8.206876,1.52588,2.68555,3.2959,0.970459,0.67749,0.595093
95,8.206936,1.83105,2.92969,6.34766,0.759888,0.622559,0.274658
96,8.206996,1.64795,2.62451,5.49316,0.741577,0.549316,0.622559
97,8.207056,0.610352,3.72314,3.54004,0.769043,0.668335,0.805664
98,8.207116,2.31934,2.68555,6.46973,0.604248,0.842285,0.421143
99,8.207176,1.28174,2.80762,3.41797,0.631714,0.65918,0.411987
100,8.207236,1.2207,2.31934,2.19727,0.778198,0.732422,0.549316
101,8.207296,2.62451,1.15967,8.05664,0.750732,0.704956,0.466919
102,8.207356,1.46484,3.2959,5.85938,0.695801,0.67749,0.283813
103,8.207416,2.68555,3.17383,3.41797,0.933838,0.732422,0.695801
104,8.207476,0.976563,5.24902,9.64355,0.759888,0.476074,0.274658
105,8.207536,1.46484,2.86865,6.34766,0.67749,0.595093,0.558472
106,8.207596,1.58691,2.62451,2.31934,0.65918,0.65918,0.595093
107,8.207656,2.19727,2.74658,5.7373,0.595093,0.540161,0.540161
108,8.207716,2.0752,2.38037,3.90625,0.613403,0.613403,0.558472
109,8.207776,1.40381,2.2583,3.41797,0.668335,0.714111,0.622559
110,8.207836,2.0752,3.2959,4.5166,0.759888,0.604248,0.384521
111,8.207896,1.83105,2.99072,6.10352,0.668335,0.613403,0.540161
112,8.207956,1.40381,3.2959,4.39453,0.787354,0.521851,0.476074
113,8.208016,1.70898,3.35693,4.5166,0.723267,0.650024,0.521851
114,8.208076,2.13623,4.21143,3.78418,0.613403,0.631714,0.640869
115,8.208136,2.31934,2.0752,3.78418,0.631714,0.567627,0.650024
116,8.208196,1.89209,2.86865,2.56348,0.750732,0.540161,0.622559
117,8.208256,1.89209,2.74658,3.2959,0.732422,0.83313,0.67749
118,8.208316,1.95313,2.74658,3.54004,0.732422,0.668335,0.631714
119,8.208376,1.64795,3.2959,3.2959,0.85144,0.50354,0.32959
120,8.208436,1.83105,2.92969,7.20215,0.695801,0.512695,0.402832
121,8.208496,0.610352,3.60107,4.15039,0.750732,0.604248,0.67749
122,8.208556,0.854492,2.99072,6.22559,0.842285,0.622559,0.311279
123,8.208616,1.28174,3.17383,5.24902,0.65918,0.640869,0.402832
124,8.208676,1.64795,3.17383,2.92969,0.759888,0.604248,0.695801
125,8.208736,1.89209,2.44141,6.22559,0.814819,0.650024,0.476074
126,8.208796,1.83105,3.60107,6.83594,0.769043,0.476074,0.393677
127,8.208856,2.0752,3.72314,3.90625,0.631714,0.476074,0.723267
128,8.208916,2.31934,2.86865,5.12695,0.732422,0.558472,0.549316
129,8.208976,1.34277,3.78418,5.98145,0.787354,0.531006,0.448608
130,8.209036,1.28174,3.84521,4.5166,0.622559,0.622559,0.613403
