DynoWare	Version 3.2.2.0
Path:	C:\Documents and Settings\User\Dokumenty\Dynamometer - Testovanie rezné sily\5 rezne sily od 12_2020 do projektu\Rn45um_nastroj3\
Filename:	t0.dwd
Config ID:	t0.cfg
Setup ID:	0
Manipulated:	0
Filename 1:	 
Filename 2:	 
Date:	Friday, February 05, 2021
Time:	11:16:44
Sampling rate [Hz]:	16667
Measuring time [s]:	20
Delay time [s]:	0
Cycle time [s]:	0
Cycles:	1
Samples per channel:	333321
Cycle interval:	0
Cycle No:	1
Time	Fx	Fy	Fz	Mx	My	Mz
s	N	N	N	Nm	Nm	Nm
8.648527	0.854492	3.54004	6.71387	0.540161	0.686646	0.457764
8.648587	0.427246	2.80762	5.12695	0.622559	0.585938	0.549316
8.648647	0.671387	3.2959	8.17871	0.540161	0.512695	0.585938
8.648707	1.64795	3.17383	8.30078	0.567627	0.604248	0.540161
8.648767	0.854492	3.05176	6.5918	0.567627	0.558472	0.485229
8.648827	0.854492	3.72314	5.7373	0.67749	0.613403	0.549316
8.648887	1.40381	3.60107	5.61523	0.540161	0.650024	0.686646
8.648947	1.15967	3.479	7.08008	0.613403	0.558472	0.448608
8.649007	0.976563	3.479	7.56836	0.549316	0.576782	0.439453
8.649067	0.610352	3.2959	6.22559	0.540161	0.558472	0.686646
8.649127	0.915527	3.11279	7.20215	0.567627	0.613403	0.512695
8.649187	0.915527	3.66211	6.83594	0.567627	0.549316	0.402832
8.649247	1.40381	3.66211	5.7373	0.585938	0.531006	0.421143
8.649307	0.854492	2.86865	5.00488	0.622559	0.704956	0.549316
8.649367	1.28174	3.72314	7.69043	0.494385	0.558472	0.595093
8.649427	1.40381	3.54004	5.61523	0.558472	0.521851	0.457764
8.649487	0.732422	2.86865	6.10352	0.585938	0.604248	0.494385
8.649547	0.610352	2.80762	6.83594	0.540161	0.531006	0.631714
8.649607	1.2207	3.66211	6.22559	0.558472	0.540161	0.622559
8.649667	1.40381	3.41797	7.93457	0.549316	0.466919	0.402832
8.649727	0.976563	3.72314	6.5918	0.576782	0.494385	0.466919
8.649787	0.854492	3.60107	6.95801	0.585938	0.585938	0.668335
8.649847	0.793457	3.84521	9.39941	0.576782	0.585938	0.567627
8.649907	0.976563	3.54004	7.20215	0.595093	0.531006	0.50354
8.649967	0.915527	3.23486	7.20215	0.567627	0.549316	0.585938
8.650027	0.854492	2.50244	10.0098	0.631714	0.695801	0.65918
8.650087	1.28174	3.23486	8.91113	0.521851	0.485229	0.540161
8.650147	1.58691	3.35693	7.32422	0.494385	0.476074	0.531006
8.650207	0.732422	3.11279	5.24902	0.613403	0.631714	0.640869
8.650267	0.427246	3.35693	7.56836	0.640869	0.549316	0.540161
8.650327	0.976563	3.41797	8.05664	0.50354	0.613403	0.576782
8.650387	1.15967	3.41797	5.00488	0.604248	0.531006	0.585938
8.650447	0.244141	2.92969	4.27246	0.686646	0.585938	0.448608
8.650507	0.610352	2.92969	5.7373	0.430298	0.567627	0.686646
8.650567	1.09863	2.68555	6.46973	0.549316	0.549316	0.540161
8.650627	1.09863	3.23486	5.37109	0.622559	0.549316	0.50354
8.650687	0.732422	3.23486	6.5918	0.50354	0.585938	0.631714
8.650747	1.34277	3.23486	5.61523	0.576782	0.631714	0.558472
8.650807	1.15967	3.11279	7.69043	0.650024	0.595093	0.393677
8.650867	0.671387	2.92969	8.42285	0.558472	0.466919	0.402832
8.650927	1.15967	2.99072	5.49316	0.585938	0.668335	0.549316
8.650987	0.427246	2.68555	6.5918	0.604248	0.613403	0.613403
8.651047	1.0376	2.92969	7.08008	0.531006	0.558472	0.494385
8.651107	1.34277	3.05176	5.7373	0.604248	0.631714	0.558472
8.651167	1.2207	2.92969	6.5918	0.558472	0.585938	0.540161
8.651227	0.915527	3.60107	6.95801	0.485229	0.531006	0.686646
8.651287	1.28174	3.66211	8.05664	0.531006	0.558472	0.531006
8.651347	0.549316	2.80762	5.61523	0.622559	0.622559	0.512695
8.651407	0.427246	2.44141	5.12695	0.558472	0.585938	0.595093
8.651467	1.40381	2.68555	7.44629	0.466919	0.604248	0.640869
8.651527	1.40381	2.44141	5.7373	0.595093	0.585938	0.457764
8.651587	0.793457	3.11279	6.71387	0.576782	0.549316	0.494385
8.651647	1.64795	2.68555	5.85938	0.585938	0.695801	0.631714
8.651707	1.46484	2.86865	7.08008	0.567627	0.576782	0.640869
8.651767	0.915527	3.2959	7.8125	0.604248	0.585938	0.430298
8.651827	1.09863	3.479	5.98145	0.531006	0.604248	0.650024
8.651887	1.09863	2.68555	5.61523	0.604248	0.585938	0.567627
8.651947	1.15967	2.99072	8.17871	0.576782	0.540161	0.521851
8.652007	1.46484	3.2959	6.95801	0.531006	0.512695	0.585938
8.652067	1.58691	3.17383	2.44141	0.631714	0.549316	0.393677
8.652127	1.15967	2.86865	5.7373	0.576782	0.576782	0.613403
8.652187	1.28174	3.17383	7.8125	0.457764	0.521851	0.631714
8.652247	1.15967	3.23486	5.98145	0.631714	0.613403	0.421143
8.652307	0.427246	3.23486	6.95801	0.576782	0.604248	0.531006
8.652367	0.610352	2.92969	6.5918	0.512695	0.558472	0.67749
8.652427	0.915527	2.86865	6.5918	0.576782	0.549316	0.576782
8.652487	1.40381	1.77002	6.95801	0.521851	0.430298	0.457764
8.652547	2.13623	2.86865	5.7373	0.531006	0.540161	0.567627
8.652607	1.15967	2.0752	6.5918	0.540161	0.650024	0.585938
8.652667	1.09863	3.05176	6.83594	0.494385	0.521851	0.540161
8.652727	1.28174	3.72314	5.7373	0.512695	0.558472	0.540161
8.652787	1.34277	3.35693	6.22559	0.540161	0.631714	0.640869
8.652847	0.793457	3.23486	11.1084	0.604248	0.695801	0.759888
8.652907	0.732422	3.17383	8.42285	0.421143	0.531006	0.613403
8.652967	1.70898	2.99072	7.08008	0.50354	0.604248	0.512695
8.653027	1.40381	2.62451	5.24902	0.558472	0.604248	0.540161
8.653087	1.52588	3.2959	7.44629	0.50354	0.521851	0.540161
8.653147	1.34277	3.17383	7.20215	0.512695	0.567627	0.558472
8.653207	0.671387	2.62451	6.22559	0.613403	0.576782	0.50354
8.653267	0.793457	3.17383	4.88281	0.668335	0.631714	0.50354
8.653327	0.854492	3.23486	6.71387	0.485229	0.695801	0.695801
8.653387	1.15967	2.80762	6.83594	0.604248	0.540161	0.421143
8.653447	1.77002	2.92969	7.44629	0.613403	0.640869	0.476074
8.653507	1.77002	2.86865	5.7373	0.512695	0.585938	0.686646
8.653567	0.915527	2.62451	5.61523	0.576782	0.576782	0.512695
8.653627	0.610352	3.54004	7.08008	0.567627	0.540161	0.411987
8.653687	0.854492	3.479	5.85938	0.558472	0.558472	0.393677
8.653747	0.732422	2.92969	5.00488	0.604248	0.65918	0.50354
8.653807	0.793457	3.11279	7.93457	0.521851	0.558472	0.595093
8.653867	1.40381	3.66211	5.12695	0.595093	0.576782	0.567627
8.653927	1.77002	2.50244	6.83594	0.622559	0.65918	0.549316
8.653987	1.2207	2.44141	7.08008	0.512695	0.50354	0.604248
8.654047	1.09863	2.99072	7.08008	0.439453	0.567627	0.723267
8.654107	1.34277	2.74658	8.42285	0.485229	0.448608	0.411987
8.654167	0.488281	3.05176	5.24902	0.631714	0.50354	0.421143
8.654227	1.09863	3.23486	5.61523	0.595093	0.604248	0.585938
8.654287	0.854492	2.56348	8.30078	0.613403	0.576782	0.567627
8.654347	1.15967	2.50244	6.46973	0.668335	0.567627	0.512695
8.654407	1.46484	3.23486	6.46973	0.549316	0.622559	0.604248
8.654467	1.28174	2.80762	8.66699	0.558472	0.650024	0.622559
8.654527	0.915527	2.68555	8.05664	0.512695	0.494385	0.549316
8.654587	1.0376	3.35693	7.08008	0.549316	0.576782	0.448608
8.654647	1.58691	3.11279	5.12695	0.585938	0.622559	0.65918
8.654707	0.976563	2.99072	6.95801	0.576782	0.494385	0.540161
8.654767	0.793457	3.2959	8.17871	0.50354	0.531006	0.567627
8.654827	1.40381	2.92969	6.83594	0.595093	0.622559	0.567627
8.654887	1.40381	2.68555	4.15039	0.686646	0.567627	0.448608
8.654947	1.34277	2.62451	6.34766	0.457764	0.558472	0.67749
8.655007	1.58691	2.74658	5.98145	0.521851	0.558472	0.540161
8.655067	1.28174	3.11279	6.71387	0.622559	0.558472	0.439453
8.655127	1.34277	3.11279	6.34766	0.485229	0.567627	0.622559
8.655187	0.915527	2.99072	6.46973	0.531006	0.613403	0.558472
8.655247	0.671387	2.80762	7.32422	0.622559	0.549316	0.421143
8.655307	0.793457	3.11279	8.78906	0.595093	0.512695	0.384521
8.655367	1.34277	2.74658	4.15039	0.576782	0.613403	0.558472
8.655427	0.976563	2.2583	7.08008	0.512695	0.576782	0.622559
8.655487	1.58691	3.11279	6.95801	0.50354	0.485229	0.485229
8.655547	1.58691	3.60107	5.98145	0.549316	0.640869	0.531006
8.655607	1.40381	2.80762	6.5918	0.558472	0.567627	0.549316
8.655667	1.09863	3.41797	6.10352	0.50354	0.558472	0.787354
8.655727	1.0376	3.05176	7.44629	0.421143	0.531006	0.50354
8.655787	0.732422	3.60107	5.98145	0.585938	0.531006	0.549316
8.655847	0.793457	2.80762	5.7373	0.531006	0.549316	0.576782
8.655907	1.15967	3.17383	6.95801	0.457764	0.585938	0.567627
8.655967	1.40381	3.05176	6.22559	0.604248	0.549316	0.476074
8.656027	1.64795	3.05176	6.22559	0.576782	0.558472	0.521851
8.656087	1.52588	3.479	5.7373	0.549316	0.704956	0.604248
8.656147	0.854492	3.05176	7.08008	0.50354	0.549316	0.65918
8.656207	0.549316	2.74658	7.69043	0.585938	0.521851	0.421143
8.656267	1.28174	3.479	5.12695	0.540161	0.631714	0.622559
8.656327	0.915527	3.11279	6.22559	0.549316	0.540161	0.476074
8.656387	1.15967	3.41797	8.42285	0.650024	0.531006	0.494385
8.656447	1.95313	2.92969	6.34766	0.549316	0.604248	0.65918
8.656507	1.95313	2.92969	1.95313	0.631714	0.585938	0.439453
8.656567	1.0376	2.68555	6.46973	0.576782	0.521851	0.668335
8.656627	0.610352	3.41797	7.20215	0.494385	0.549316	0.540161
8.656687	1.0376	3.84521	7.44629	0.622559	0.668335	0.50354
8.656747	0.427246	3.05176	7.93457	0.604248	0.585938	0.567627
8.656807	0.305176	3.23486	6.22559	0.531006	0.558472	0.531006
8.656867	0.793457	2.68555	7.69043	0.585938	0.512695	0.531006
8.656927	1.15967	2.86865	9.76563	0.631714	0.485229	0.384521
8.656987	1.58691	2.80762	5.49316	0.558472	0.558472	0.494385
8.657047	1.52588	2.99072	8.17871	0.512695	0.622559	0.631714
8.657107	0.976563	3.41797	7.44629	0.631714	0.521851	0.430298
8.657167	1.2207	3.72314	7.44629	0.67749	0.65918	0.512695
8.657227	0.610352	3.2959	7.32422	0.531006	0.650024	0.631714
8.657287	0.305176	2.99072	7.32422	0.540161	0.549316	0.759888
8.657347	0.610352	2.92969	9.64355	0.439453	0.494385	0.567627
8.657407	1.0376	2.74658	6.22559	0.576782	0.576782	0.512695
8.657467	1.34277	2.62451	6.10352	0.640869	0.540161	0.512695
8.657527	1.40381	3.17383	8.17871	0.457764	0.549316	0.576782
8.657587	1.46484	3.35693	5.49316	0.613403	0.595093	0.595093
8.657647	0.793457	3.479	5.85938	0.650024	0.595093	0.485229
8.657707	0.366211	3.66211	6.22559	0.567627	0.650024	0.576782
8.657767	-0.12207	3.41797	6.71387	0.466919	0.585938	0.704956
8.657827	0.12207	2.86865	7.08008	0.622559	0.531006	0.402832
8.657887	0.976563	3.11279	5.37109	0.576782	0.549316	0.549316
8.657947	1.64795	3.11279	5.49316	0.512695	0.631714	0.613403
8.658007	1.58691	2.2583	9.15527	0.613403	0.576782	0.485229
8.658067	1.09863	3.479	8.05664	0.531006	0.531006	0.558472
8.658127	0.366211	3.35693	4.27246	0.576782	0.585938	0.393677
8.658187	0.305176	3.11279	4.88281	0.567627	0.613403	0.531006
8.658247	0.12207	2.74658	8.05664	0.558472	0.531006	0.512695
8.658307	0.915527	3.11279	5.24902	0.622559	0.576782	0.494385
8.658367	1.64795	2.44141	7.69043	0.604248	0.604248	0.549316
8.658427	1.46484	2.74658	7.32422	0.521851	0.494385	0.567627
8.658487	1.77002	3.72314	7.44629	0.549316	0.549316	0.512695
8.658547	1.28174	3.2959	8.42285	0.558472	0.540161	0.375366
8.658607	0.671387	3.66211	6.10352	0.631714	0.558472	0.466919
8.658667	0.610352	3.35693	7.44629	0.576782	0.576782	0.604248
8.658727	0.671387	2.86865	7.69043	0.640869	0.585938	0.531006
8.658787	0.671387	3.05176	7.56836	0.640869	0.558472	0.531006
8.658847	1.15967	3.11279	8.30078	0.585938	0.650024	0.640869
8.658907	1.2207	2.86865	8.30078	0.521851	0.631714	0.732422
8.658967	0.976563	3.41797	10.498	0.512695	0.50354	0.549316
8.659027	1.0376	3.54004	8.05664	0.613403	0.567627	0.576782
8.659087	1.09863	2.92969	5.61523	0.650024	0.631714	0.585938
8.659147	0.427246	2.86865	8.91113	0.558472	0.521851	0.531006
8.659207	0.244141	3.17383	7.93457	0.549316	0.604248	0.531006
8.659267	0.610352	2.99072	6.22559	0.622559	0.622559	0.585938
8.659327	0.915527	2.86865	6.22559	0.732422	0.686646	0.50354
8.659387	1.34277	2.86865	6.10352	0.485229	0.585938	0.686646
8.659447	1.40381	2.50244	7.08008	0.631714	0.576782	0.494385
8.659507	1.0376	3.23486	7.32422	0.631714	0.613403	0.585938
8.659567	0.671387	3.35693	6.71387	0.476074	0.567627	0.631714
8.659627	0.610352	3.35693	7.56836	0.512695	0.622559	0.50354
8.659687	0.610352	3.11279	6.5918	0.631714	0.631714	0.448608
8.659747	0.671387	3.2959	4.27246	0.585938	0.631714	0.457764
8.659807	1.46484	2.86865	4.39453	0.567627	0.67749	0.622559
