,time,Fx,Fy,Fz,Mx,My,Mz
0,10.50651,2.38037,2.31934,9.27734,0.732422,0.512695,0.283813
1,10.50657,1.40381,2.01416,10.6201,0.823975,0.448608,0.595093
2,10.50663,1.28174,2.13623,7.8125,0.750732,0.576782,0.631714
3,10.50669,1.52588,1.70898,10.2539,0.897217,0.640869,0.604248
4,10.50675,2.62451,2.68555,7.08008,0.750732,0.613403,0.631714
5,10.50681,1.83105,3.72314,10.6201,0.85144,0.457764,0.311279
6,10.50687,1.70898,2.68555,11.9629,0.814819,0.668335,0.15564
7,10.50693,0.305176,3.60107,10.2539,0.869751,0.585938,0.448608
8,10.50699,1.64795,2.2583,9.39941,0.915527,0.732422,0.686646
9,10.50705,2.56348,3.11279,8.42285,0.723267,0.650024,0.759888
10,10.50711,2.2583,2.92969,8.42285,0.704956,0.631714,0.650024
11,10.50717,2.0752,3.35693,8.91113,0.787354,0.540161,0.540161
12,10.50723,2.44141,3.41797,10.2539,0.888062,0.558472,0.384521
13,10.50729,1.46484,3.17383,11.7188,0.805664,0.421143,0.311279
14,10.50735,0.976563,2.50244,6.22559,0.933838,0.558472,0.67749
15,10.50741,1.83105,2.74658,3.05176,0.888062,0.668335,0.85144
16,10.50747,1.52588,3.54004,10.2539,0.860596,0.448608,0.686646
17,10.50753,2.13623,4.02832,12.4512,0.695801,0.311279,0.320435
18,10.50759,1.83105,2.68555,10.376,0.65918,0.247192,0.228882
19,10.50765,1.58691,2.56348,7.20215,0.805664,0.357056,0.476074
20,10.50771,1.46484,2.80762,6.34766,0.952148,0.67749,0.85144
21,10.50777,1.46484,3.35693,9.0332,0.970459,0.595093,0.723267
22,10.50783,1.83105,3.84521,9.15527,0.723267,0.411987,0.466919
23,10.50789,1.28174,3.17383,10.7422,0.714111,0.402832,0.393677
24,10.50795,1.34277,2.31934,11.2305,0.787354,0.375366,0.531006
25,10.50801,0.854492,2.74658,9.39941,0.869751,0.65918,0.65918
26,10.50807,2.19727,2.62451,7.8125,0.860596,0.695801,0.83313
27,10.50813,2.86865,3.11279,6.83594,0.732422,0.439453,0.521851
28,10.50819,1.34277,2.50244,6.83594,0.805664,0.50354,0.567627
29,10.50825,1.2207,3.05176,9.52148,0.787354,0.604248,0.50354
30,10.50831,1.0376,3.41797,11.4746,0.823975,0.531006,0.512695
31,10.50837,1.95313,3.17383,11.2305,0.778198,0.613403,0.384521
32,10.50843,1.52588,2.56348,9.15527,0.814819,0.457764,0.576782
33,10.50849,1.70898,2.19727,8.91113,0.878906,0.650024,0.494385
34,10.50855,2.74658,2.13623,9.8877,0.906372,0.521851,0.622559
35,10.50861,1.77002,2.31934,9.0332,0.769043,0.494385,0.576782
36,10.50867,2.68555,2.92969,7.44629,0.759888,0.512695,0.448608
37,10.50873,1.52588,3.66211,8.05664,0.842285,0.466919,0.704956
38,10.50879,1.34277,3.90625,7.20215,0.878906,0.741577,0.650024
39,10.50885,1.52588,3.05176,10.0098,0.732422,0.576782,0.650024
40,10.50891,1.64795,2.68555,7.20215,0.787354,0.512695,0.585938
41,10.50897,2.01416,2.0752,7.8125,0.805664,0.393677,0.320435
42,10.50903,1.95313,3.60107,10.7422,0.778198,0.457764,0.494385
43,10.50909,2.31934,3.78418,8.91113,0.970459,0.723267,0.842285
44,10.50915,2.2583,3.17383,10.7422,1.09863,0.50354,0.439453
45,10.50921,1.46484,3.72314,11.3525,0.558472,0.494385,0.3479
46,10.50927,0.854492,3.23486,7.20215,0.769043,0.521851,0.521851
47,10.50933,0.732422,3.11279,7.56836,0.814819,0.558472,0.732422
48,10.50939,1.64795,3.17383,6.71387,0.924683,0.549316,0.723267
49,10.50945,2.13623,2.80762,6.46973,0.732422,0.512695,0.585938
50,10.50951,1.52588,3.17383,6.95801,0.787354,0.430298,0.549316
51,10.50957,1.64795,2.2583,10.376,0.769043,0.613403,0.485229
52,10.50963,2.0752,3.41797,8.78906,0.796509,0.439453,0.430298
53,10.50969,1.52588,4.69971,10.1318,0.805664,0.723267,0.411987
54,10.50975,1.15967,2.62451,10.0098,0.741577,0.604248,0.402832
55,10.50981,0.12207,2.80762,8.05664,0.85144,0.521851,0.631714
56,10.50987,0.244141,3.96729,5.24902,1.07117,0.549316,0.695801
57,10.50993,0.610352,3.60107,9.0332,0.888062,0.704956,0.695801
58,10.50999,1.15967,3.479,9.64355,0.787354,0.531006,0.842285
59,10.51005,2.68555,3.11279,6.71387,0.814819,0.411987,0.549316
60,10.51011,2.62451,2.2583,7.32422,0.796509,0.549316,0.640869
61,10.51017,1.95313,3.2959,8.17871,0.814819,0.622559,0.750732
62,10.51023,2.0752,2.99072,11.4746,0.787354,0.540161,0.485229
63,10.51029,2.01416,3.23486,11.2305,0.897217,0.50354,0.393677
64,10.51035,2.01416,3.2959,11.1084,0.723267,0.512695,0.421143
65,10.51041,1.28174,2.19727,10.2539,0.814819,0.411987,0.595093
66,10.51047,1.2207,2.86865,6.71387,0.952148,0.50354,0.67749
67,10.51053,1.40381,3.96729,9.76563,0.952148,0.549316,0.695801
68,10.51059,0.427246,3.84521,8.30078,1.00708,0.50354,0.466919
69,10.51065,1.64795,2.80762,9.0332,0.85144,0.604248,0.283813
70,10.51071,1.09863,2.86865,8.42285,0.695801,0.805664,0.686646
71,10.51077,1.15967,3.60107,6.22559,0.805664,0.805664,0.814819
72,10.51083,1.40381,2.68555,10.7422,0.732422,0.650024,0.576782
73,10.51089,1.2207,3.66211,10.9863,0.686646,0.375366,0.439453
74,10.51095,0.732422,2.99072,8.78906,0.915527,0.320435,0.384521
