time,x_load,y_load,r_load
4e-06,1.7460295,56.206326,3.0382007
6.8088471116e-06,13.845973,57.884044,8.7705851
1.08088471116e-05,3.3219319,80.007799,10.453674
1.48088471116e-05,14.288017,72.373589,7.581743
1.88088471116e-05,3.866539,76.013511,3.32266
2.28088471116e-05,5.9024406,80.973711,1.9695352
2.55088988988e-05,26.782181,69.361256,19.814381
2.95088988988e-05,11.672845,84.361432,3.0843017
3.35088988988e-05,28.67828,76.95191,20.550267
3.66623440759e-05,45.007373,66.153292,37.769552
4.06623440759e-05,23.990429,78.797081,15.329837
4.40589756065e-05,21.868663,77.849871,13.151261
4.80589756065e-05,11.478894,83.119047,2.0312727
5.20589756065e-05,24.319156,71.487975,15.91438
5.60589756065e-05,18.685199,90.877128,7.8481707
6.00231434262e-05,5.4254484,85.958581,4.9557128
6.00231434262e-05,35.515795,69.352391,26.913971
6.40231434262e-05,15.579443,86.074811,4.8892282
6.74445088217e-05,28.918269,79.640268,18.73832
7.14445088217e-05,45.046593,73.081312,35.361779
7.54445088217e-05,27.453794,83.212338,16.402846
7.94445088217e-05,30.484114,90.01659,18.286578
8.34445088217e-05,30.923846,86.292289,18.988763
8.51269710329e-05,33.360611,82.848653,21.775883
8.91269710329e-05,12.082783,94.670202,1.1545757
9.31269710329e-05,6.4717532,93.231059,6.7482368
9.62966009623e-05,76.502521,57.740846,67.453054
0.0001002966009623,25.676605,86.500778,12.808557
0.0001042966009623,17.870289,87.991932,4.6410933
0.0001062215091232,17.55117,88.78738,4.0974254
0.0001102215091232,9.1093465,95.461641,5.4889508
0.0001142215091232,25.858201,87.837061,11.993297
0.0001182215091232,25.097924,89.25179,10.790481
0.0001222215091232,20.986257,93.615834,5.8026325
0.0001262215091232,24.535669,86.71,10.180116
0.0001302215091232,17.315865,86.649284,2.8414976
0.000132276162415,16.575006,87.757378,1.812387
0.000136276162415,13.546926,95.246188,2.6578388
0.000140276162415,10.428596,94.120361,5.7820751
0.0001438798977827,39.20887,76.659319,25.367456
0.0001478798977827,58.432945,59.507244,47.09274
0.0001495486380162,63.448543,59.850477,51.896349
0.0001535486380162,33.361216,77.378862,18.9809
0.0001575486380162,31.270903,81.015841,16.057464
0.0001615486380162,27.58945,87.580933,11.015307
0.0001633742273391,26.843227,90.166221,9.6982184
0.0001673742273391,48.827117,68.482636,35.120704
0.0001713742273391,27.672661,78.014639,12.346795
0.0001730113092047,26.155331,80.551075,10.288025
0.0001770113092047,26.505717,77.278374,11.051965
0.0001810113092047,19.935953,78.196436,4.2245095
0.0001829005214019,18.88828,78.892219,2.9637651
0.0001869005214019,18.699224,84.503034,1.4529405
0.0001909005214019,26.917292,74.124415,11.379807
0.0001924486715116,58.225137,58.832955,45.064103
0.0001964486715116,13.916519,78.856449,2.5904128
0.000199509637867,66.76552,52.091401,54.506216
0.000203509637867,55.343922,58.084346,41.916597
0.000207509637867,33.526772,70.266526,17.836164
0.000211509637867,45.543952,61.882022,31.182229
0.000215509637867,42.371362,69.092715,26.340094
0.0002169245978265,41.798289,71.368569,25.215433
0.0002209245978265,24.747865,76.40576,7.2740204
0.0002249245978265,39.149752,68.817119,22.803572
0.0002285281149417,22.738474,70.524915,6.256537
0.0002325281149417,16.264335,78.581647,2.0703293
0.000235060911077,33.434521,68.127732,16.911606
0.000239060911077,24.28445,76.863753,5.7975301
0.000243060911077,17.555135,80.04735,1.6942611
0.000247060911077,54.634301,57.670514,39.421919
0.0002486834263107,37.694119,64.554869,21.259587
0.0002526834263107,65.6616,36.095482,55.064451
0.0002541221421239,66.450302,37.257246,55.503343
0.0002581221421239,19.925101,75.427297,0.94817033
0.0002621221421239,35.582035,64.895241,18.517743
0.0002661221421239,31.242781,65.816205,13.904102
0.0002701221421239,28.12816,69.48349,9.7874213
0.0002729290539777,25.252754,73.453335,5.8699137
0.0002769290539777,18.703004,80.578286,2.47739
0.0002809290539777,38.018332,61.24111,20.958097
0.0002849290539777,27.415417,68.845584,8.5674948
0.0002862928270713,27.236046,70.560172,7.8833954
0.0002902928270713,34.205156,68.830859,14.871258
0.0002942928270713,18.358223,73.439942,1.8218744
0.0002955855484835,51.028691,53.876103,34.819705
0.0002995855484835,25.343427,71.911699,5.0631894
0.0003035855484835,18.508763,75.712519,2.7394226
0.0003050213326367,17.900934,77.297617,3.8268152
0.0003090213326367,33.090762,68.042113,13.120695
0.0003130213326367,32.982061,65.340579,13.57627
0.0003166264994634,25.870568,63.982153,6.9632454
0.0003206264994634,27.758738,68.174733,7.4192174
0.0003246264994634,22.074173,74.851991,0.11458036
0.0003286264994634,16.769979,73.398457,4.9771527
0.0003299112487281,40.814627,48.809606,25.060095
0.0003339112487281,22.421329,76.862962,0.82437111
0.0003379112487281,38.639752,69.113011,16.748237
0.0003419112487281,41.54587,69.400359,19.244376
0.0003433595575959,31.383376,73.218783,8.3351853
0.0003473595575959,20.262592,72.510532,2.2698766
0.0003494158354204,32.796095,61.953729,12.750631
0.0003534158354204,31.248559,62.13781,11.044947
0.0003574158354204,29.970305,64.120169,9.0502999
0.0003614158354204,36.289766,50.12519,19.177575
0.0003654158354204,36.23717,54.514142,17.622432
0.0003669023095627,36.4121,57.278477,16.872866
0.0003701616463174,35.212157,47.049258,18.78648
