,time,Fx,Fy,Fz,Mx,My,Mz
0,10.00474,1.83105,3.66211,1.58691,0.778198,0.531006,0.411987
1,10.0048,1.89209,3.05176,-0.610352,0.869751,0.640869,0.558472
2,10.00486,1.70898,3.2959,0.488281,0.860596,0.50354,0.448608
3,10.00492,2.80762,2.74658,0.976563,0.759888,0.50354,0.402832
4,10.00498,2.13623,2.86865,0.244141,0.796509,0.558472,0.311279
5,10.00504,2.19727,2.92969,0.0,0.897217,0.494385,0.265503
6,10.0051,1.95313,2.92969,-0.12207,0.85144,0.65918,0.476074
7,10.00516,2.01416,3.23486,0.854492,0.750732,0.613403,0.558472
8,10.00522,1.46484,3.05176,0.610352,0.906372,0.549316,0.375366
9,10.00528,1.64795,3.23486,0.976563,0.906372,0.631714,0.411987
10,10.00534,2.19727,3.54004,0.732422,0.814819,0.512695,0.485229
11,10.0054,2.01416,2.62451,3.54004,0.759888,0.631714,0.604248
12,10.00546,2.2583,2.56348,1.95313,0.714111,0.448608,0.50354
13,10.00552,2.50244,3.11279,2.0752,0.796509,0.558472,0.430298
14,10.00558,2.92969,2.68555,-0.488281,0.897217,0.576782,0.521851
15,10.00564,2.13623,3.35693,0.488281,0.869751,0.50354,0.448608
16,10.0057,1.64795,3.54004,2.44141,0.796509,0.558472,0.512695
17,10.00576,2.2583,3.72314,1.58691,0.897217,0.640869,0.384521
18,10.00582,2.44141,3.54004,0.244141,0.906372,0.512695,0.247192
19,10.00588,2.13623,2.62451,-0.610352,0.814819,0.531006,0.457764
20,10.00594,2.80762,2.80762,1.2207,0.723267,0.549316,0.585938
21,10.006,2.31934,2.80762,1.34277,0.85144,0.531006,0.393677
22,10.00606,2.0752,2.62451,1.2207,0.878906,0.521851,0.384521
23,10.00612,2.0752,3.2959,0.854492,0.787354,0.585938,0.494385
24,10.00618,1.70898,3.23486,3.05176,0.796509,0.640869,0.686646
25,10.00624,2.0752,3.2959,2.68555,0.805664,0.512695,0.476074
26,10.0063,1.64795,3.35693,1.83105,0.769043,0.558472,0.411987
27,10.00636,1.83105,2.38037,-1.34277,0.842285,0.613403,0.521851
28,10.00642,2.19727,2.74658,-0.12207,0.814819,0.540161,0.466919
29,10.00648,2.50244,3.11279,1.2207,0.769043,0.476074,0.411987
30,10.00654,2.2583,2.74658,0.732422,0.842285,0.549316,0.421143
31,10.0066,1.52588,3.479,0.0,0.897217,0.604248,0.302124
32,10.00666,1.46484,3.41797,-0.488281,0.906372,0.631714,0.50354
33,10.00672,1.64795,4.08936,1.2207,0.714111,0.576782,0.576782
34,10.00678,1.83105,3.17383,0.0,0.823975,0.567627,0.366211
35,10.00684,1.52588,3.11279,0.610352,0.897217,0.595093,0.476074
36,10.0069,2.44141,2.80762,1.83105,0.787354,0.585938,0.622559
37,10.00696,2.13623,2.56348,0.732422,0.714111,0.576782,0.723267
38,10.00702,2.2583,3.41797,2.44141,0.723267,0.485229,0.439453
39,10.00708,1.83105,3.479,1.34277,0.842285,0.567627,0.430298
40,10.00714,1.77002,3.17383,0.12207,0.915527,0.695801,0.558472
41,10.0072,1.28174,3.41797,1.70898,0.869751,0.604248,0.411987
42,10.00726,0.915527,3.60107,2.0752,0.83313,0.540161,0.476074
43,10.00732,1.77002,3.479,0.366211,0.860596,0.640869,0.531006
44,10.00738,1.77002,3.11279,-3.41797,0.933838,0.558472,0.311279
45,10.00744,2.0752,3.05176,-0.854492,0.823975,0.595093,0.466919
46,10.0075,2.62451,2.62451,0.854492,0.714111,0.50354,0.567627
47,10.00756,2.2583,2.86865,0.244141,0.906372,0.585938,0.338745
48,10.00762,1.40381,3.41797,1.46484,0.85144,0.604248,0.485229
49,10.00768,1.58691,2.80762,0.854492,0.778198,0.604248,0.576782
50,10.00774,1.64795,2.92969,0.854492,0.778198,0.65918,0.686646
51,10.0078,1.64795,3.05176,2.56348,0.787354,0.485229,0.430298
52,10.00786,2.31934,3.479,0.610352,0.750732,0.494385,0.448608
53,10.00792,2.74658,2.31934,-1.70898,0.823975,0.549316,0.531006
54,10.00798,2.31934,2.80762,-0.12207,0.796509,0.494385,0.439453
55,10.00804,2.0752,3.66211,0.976563,0.750732,0.512695,0.476074
56,10.0081,1.83105,3.60107,-1.70898,0.759888,0.631714,0.466919
57,10.00816,1.52588,3.05176,-4.5166,0.842285,0.613403,0.283813
58,10.00822,1.28174,3.2959,-0.12207,0.842285,0.631714,0.558472
59,10.00828,1.77002,3.17383,0.610352,0.796509,0.531006,0.540161
60,10.00834,2.13623,3.05176,-0.12207,0.888062,0.531006,0.3479
61,10.0084,2.38037,2.44141,0.610352,0.842285,0.576782,0.466919
62,10.00846,2.56348,2.80762,0.0,0.741577,0.531006,0.576782
63,10.00852,2.44141,2.86865,-0.854492,0.759888,0.558472,0.631714
64,10.00858,1.89209,3.05176,2.0752,0.741577,0.466919,0.366211
65,10.00864,1.89209,3.479,0.488281,0.778198,0.531006,0.50354
66,10.0087,2.2583,3.17383,-0.854492,0.924683,0.640869,0.558472
67,10.00876,2.13623,2.74658,0.488281,0.85144,0.540161,0.476074
68,10.00882,2.2583,3.2959,1.09863,0.65918,0.512695,0.476074
69,10.00888,2.31934,2.74658,-1.2207,0.787354,0.585938,0.494385
70,10.00894,2.74658,2.2583,-4.63867,0.860596,0.549316,0.311279
71,10.009,1.46484,2.44141,-0.366211,0.787354,0.558472,0.448608
72,10.00906,1.89209,3.23486,-0.488281,0.732422,0.512695,0.531006
73,10.00912,1.89209,3.23486,-0.854492,0.869751,0.540161,0.402832
74,10.00918,1.40381,3.2959,0.732422,0.906372,0.622559,0.430298
75,10.00924,2.01416,3.23486,0.488281,0.787354,0.549316,0.549316
76,10.0093,2.2583,2.31934,-0.366211,0.714111,0.604248,0.714111
77,10.00936,2.13623,2.62451,1.95313,0.759888,0.384521,0.448608
78,10.00942,2.44141,2.68555,0.854492,0.750732,0.457764,0.375366
79,10.00948,2.38037,2.50244,-1.70898,0.814819,0.558472,0.521851
80,10.00954,1.77002,2.86865,-0.12207,0.778198,0.540161,0.466919
81,10.0096,1.64795,3.54004,0.366211,0.787354,0.540161,0.421143
82,10.00966,1.77002,3.41797,-1.34277,0.814819,0.576782,0.512695
83,10.00972,1.83105,2.80762,-5.61523,0.85144,0.631714,0.283813
84,10.00978,1.2207,3.17383,0.610352,0.85144,0.631714,0.494385
85,10.00984,1.89209,2.56348,0.12207,0.741577,0.531006,0.576782
86,10.0099,2.19727,2.62451,-1.58691,0.805664,0.567627,0.3479
87,10.00996,1.95313,3.05176,-0.854492,0.85144,0.549316,0.393677
88,10.01002,1.89209,3.2959,0.0,0.750732,0.558472,0.558472
89,10.01008,1.83105,3.41797,0.976563,0.769043,0.622559,0.704956
90,10.01014,1.34277,3.17383,2.19727,0.732422,0.494385,0.430298
91,10.0102,1.46484,2.80762,1.46484,0.814819,0.567627,0.439453
92,10.01026,2.56348,2.50244,-0.12207,0.842285,0.67749,0.622559
93,10.01032,2.0752,2.74658,1.58691,0.869751,0.604248,0.411987
94,10.01038,1.95313,2.56348,1.58691,0.796509,0.531006,0.393677
95,10.01044,1.89209,3.17383,0.0,0.842285,0.604248,0.485229
96,10.0105,1.58691,3.17383,-1.2207,0.924683,0.65918,0.238037
97,10.01056,1.15967,3.35693,-0.12207,0.878906,0.585938,0.476074
98,10.01062,1.52588,3.23486,0.610352,0.741577,0.567627,0.549316
99,10.01068,1.34277,2.92969,-0.366211,0.842285,0.631714,0.384521
100,10.01074,1.46484,2.62451,1.58691,0.933838,0.613403,0.466919
101,10.0108,2.19727,2.92969,1.46484,0.778198,0.65918,0.540161
102,10.01086,2.2583,3.05176,0.976563,0.723267,0.558472,0.732422
103,10.01092,1.70898,2.74658,1.83105,0.814819,0.466919,0.50354
104,10.01098,1.77002,3.35693,1.83105,0.796509,0.567627,0.485229
105,10.01104,2.13623,2.99072,-1.09863,0.83313,0.650024,0.540161
106,10.0111,0.793457,2.62451,0.366211,0.83313,0.585938,0.448608
107,10.01116,0.976563,2.86865,1.09863,0.823975,0.558472,0.430298
108,10.01122,2.01416,3.17383,-0.488281,0.897217,0.668335,0.411987
109,10.01128,2.13623,2.80762,-1.58691,0.906372,0.549316,0.265503
110,10.01134,1.77002,2.56348,0.244141,0.897217,0.531006,0.485229
111,10.0114,2.38037,3.17383,0.366211,0.714111,0.576782,0.531006
112,10.01146,2.50244,3.23486,-0.366211,0.83313,0.558472,0.375366
113,10.01152,1.70898,3.23486,-0.12207,0.878906,0.476074,0.375366
114,10.01158,1.28174,3.05176,0.244141,0.796509,0.622559,0.531006
115,10.01164,1.52588,3.2959,2.68555,0.750732,0.622559,0.759888
116,10.0117,1.28174,3.17383,1.70898,0.769043,0.457764,0.512695
117,10.01176,1.77002,2.80762,1.46484,0.714111,0.549316,0.411987
118,10.01182,1.95313,3.17383,-0.610352,0.787354,0.668335,0.604248
119,10.01188,2.13623,2.80762,0.244141,0.823975,0.558472,0.466919
120,10.01194,1.83105,2.86865,0.732422,0.796509,0.521851,0.366211
121,10.012,2.50244,3.41797,-1.83105,0.787354,0.595093,0.402832
122,10.01206,0.732422,3.66211,-0.854492,0.915527,0.558472,0.32959
123,10.01212,0.976563,2.74658,0.366211,0.915527,0.65918,0.448608
124,10.01218,2.2583,3.35693,0.732422,0.723267,0.613403,0.567627
125,10.01224,1.89209,2.92969,-0.854492,0.842285,0.558472,0.402832
126,10.0123,2.31934,3.17383,0.488281,0.906372,0.549316,0.384521
127,10.01236,2.74658,3.17383,1.09863,0.778198,0.494385,0.494385
128,10.01242,2.74658,2.68555,2.0752,0.686646,0.540161,0.723267
129,10.01248,1.95313,2.80762,1.83105,0.750732,0.512695,0.439453
130,10.01254,1.46484,3.54004,0.244141,0.814819,0.567627,0.439453
131,10.0126,1.95313,3.78418,-0.488281,0.796509,0.622559,0.567627
132,10.01266,1.46484,2.80762,0.488281,0.860596,0.50354,0.357056
133,10.01272,1.64795,2.92969,1.46484,0.823975,0.567627,0.430298
134,10.01278,2.50244,3.23486,-0.366211,0.85144,0.531006,0.448608
135,10.01284,3.17383,2.74658,-1.83105,0.915527,0.567627,0.274658
136,10.0129,2.38037,2.92969,-0.12207,0.83313,0.540161,0.439453
137,10.01296,2.19727,3.60107,1.46484,0.769043,0.512695,0.549316
138,10.01302,2.2583,3.17383,-0.244141,0.842285,0.585938,0.384521
139,10.01308,1.46484,3.2959,-0.366211,0.888062,0.531006,0.375366
140,10.01314,1.70898,3.35693,1.2207,0.787354,0.521851,0.604248
141,10.0132,1.95313,2.80762,2.80762,0.778198,0.622559,0.732422
142,10.01326,2.62451,2.74658,1.70898,0.814819,0.466919,0.466919
