,time,Fx,Fy,Fz,Mx,My,Mz
0,9.204776,2.38037,3.11279,4.88281,0.704956,0.759888,0.567627
1,9.204836,1.34277,2.44141,6.5918,0.50354,0.67749,0.585938
2,9.204896,0.976563,3.66211,4.88281,0.67749,0.585938,0.466919
3,9.204956,2.13623,3.05176,5.61523,0.686646,0.704956,0.585938
4,9.205016,1.40381,3.78418,3.17383,0.631714,0.531006,0.576782
5,9.205076,1.77002,3.05176,6.95801,0.50354,0.549316,0.540161
6,9.205136,1.40381,4.08936,5.00488,0.778198,0.595093,0.393677
7,9.205196,2.19727,3.479,5.7373,0.65918,0.750732,0.183105
8,9.205256,1.64795,3.78418,4.39453,0.67749,0.476074,0.585938
9,9.205316,0.732422,4.08936,5.49316,0.567627,0.585938,0.476074
10,9.205376,2.38037,3.11279,3.54004,0.622559,0.567627,0.430298
11,9.205436,1.83105,4.02832,3.78418,0.714111,0.558472,0.585938
12,9.205496,1.58691,3.60107,6.10352,0.476074,0.650024,0.521851
13,9.205556,1.70898,2.50244,6.5918,0.494385,0.494385,0.723267
14,9.205616,0.732422,4.39453,6.95801,0.540161,0.521851,0.494385
15,9.205676,1.28174,3.17383,5.49316,0.595093,0.704956,0.457764
16,9.205736,1.58691,3.17383,2.56348,0.796509,0.622559,0.65918
17,9.205796,1.15967,3.60107,4.39453,0.640869,0.622559,0.604248
18,9.205856,2.38037,2.50244,5.7373,0.604248,0.50354,0.595093
19,9.205916,0.976563,4.45557,2.56348,0.567627,0.613403,0.521851
20,9.205976,1.64795,3.35693,4.15039,0.640869,0.585938,0.585938
21,9.206036,0.488281,4.27246,7.20215,0.512695,0.695801,0.466919
22,9.206096,1.64795,3.17383,5.00488,0.704956,0.531006,0.604248
23,9.206156,1.95313,2.86865,4.63867,0.640869,0.704956,0.430298
24,9.206216,1.64795,2.50244,3.78418,0.604248,0.576782,0.695801
25,9.206276,1.40381,2.68555,6.46973,0.512695,0.695801,0.50354
26,9.206336,0.976563,3.90625,4.5166,0.759888,0.512695,0.476074
27,9.206396,1.46484,4.15039,5.12695,0.67749,0.640869,0.338745
28,9.206456,2.0752,3.11279,5.61523,0.631714,0.631714,0.567627
29,9.206516,0.854492,3.66211,5.98145,0.65918,0.67749,0.631714
30,9.206576,1.95313,2.80762,8.17871,0.604248,0.686646,0.466919
31,9.206636,0.732422,2.74658,4.27246,0.714111,0.585938,0.613403
32,9.206696,0.915527,3.66211,6.83594,0.65918,0.769043,0.668335
33,9.206756,1.40381,3.2959,6.83594,0.402832,0.869751,0.723267
34,9.206816,1.40381,3.2959,6.5918,0.567627,0.494385,0.430298
35,9.206876,1.28174,4.76074,5.00488,0.714111,0.558472,0.576782
36,9.206936,1.89209,2.99072,3.2959,0.640869,0.613403,0.704956
37,9.206996,1.52588,3.17383,9.15527,0.531006,0.83313,0.531006
38,9.207056,1.58691,2.86865,8.91113,0.613403,0.842285,0.576782
39,9.207116,0.915527,2.92969,3.05176,0.750732,0.823975,0.558472
40,9.207176,1.40381,2.01416,6.10352,0.650024,0.85144,0.485229
41,9.207236,1.83105,2.31934,3.17383,0.631714,0.723267,0.65918
42,9.207296,1.2207,3.35693,5.7373,0.622559,0.512695,0.50354
43,9.207356,0.854492,3.54004,5.12695,0.585938,0.704956,0.393677
44,9.207416,1.09863,3.60107,4.39453,0.83313,0.531006,0.67749
45,9.207476,0.549316,3.54004,6.83594,0.531006,0.622559,0.366211
46,9.207536,1.28174,3.84521,6.46973,0.595093,0.631714,0.219727
47,9.207596,1.15967,3.66211,5.37109,0.640869,0.411987,0.357056
48,9.207656,1.83105,2.44141,4.88281,0.622559,0.695801,0.732422
49,9.207716,1.09863,3.11279,6.83594,0.585938,0.686646,0.558472
50,9.207776,1.58691,3.41797,5.85938,0.585938,0.512695,0.540161
51,9.207836,1.0376,3.78418,5.00488,0.622559,0.668335,0.366211
