,time,Fx,Fy,Fz,Mx,My,Mz
0,11.453351,0.427246,4.3335,5.24902,0.723267,0.228882,0.265503
1,11.453411,1.28174,3.479,2.44141,0.549316,0.631714,0.521851
2,11.453471,2.0752,3.17383,2.19727,0.759888,0.485229,0.549316
3,11.453531,0.0,3.35693,2.0752,0.640869,0.640869,0.411987
4,11.453591,1.46484,2.86865,0.366211,0.759888,0.476074,0.567627
5,11.453651,0.244141,2.13623,2.19727,0.787354,0.796509,0.421143
6,11.453711,0.793457,2.01416,2.19727,0.878906,0.83313,0.613403
7,11.453771,0.976563,3.05176,5.12695,0.540161,0.50354,0.585938
8,11.453831,1.15967,3.54004,5.7373,0.512695,0.366211,0.32959
9,11.453891,0.732422,2.80762,2.44141,0.704956,0.631714,0.521851
10,11.453951,1.40381,3.05176,5.49316,0.65918,0.50354,0.631714
11,11.454011,1.40381,2.50244,2.19727,0.466919,0.640869,0.384521
12,11.454071,0.549316,2.2583,4.63867,0.585938,0.512695,0.466919
13,11.454131,0.610352,2.13623,1.70898,0.695801,0.576782,0.439453
14,11.454191,1.77002,2.44141,1.46484,0.723267,0.595093,0.549316
15,11.454251,1.40381,1.15967,2.68555,0.567627,0.686646,0.65918
16,11.454311,1.09863,2.80762,5.37109,0.558472,0.421143,0.357056
17,11.454371,0.366211,2.80762,4.02832,0.869751,0.540161,0.357056
18,11.454431,1.28174,4.57764,6.46973,0.714111,0.650024,0.521851
19,11.454491,1.09863,3.05176,2.68555,0.704956,0.50354,0.393677
20,11.454551,1.0376,2.68555,4.39453,0.65918,0.640869,0.558472
21,11.454611,0.671387,2.80762,3.17383,0.723267,0.723267,0.466919
22,11.454671,0.793457,2.68555,3.54004,0.796509,0.439453,0.567627
23,11.454731,0.366211,3.66211,2.0752,0.650024,0.576782,0.631714
24,11.454791,1.09863,2.38037,2.56348,0.521851,0.549316,0.521851
25,11.454851,0.732422,3.54004,2.68555,0.842285,0.531006,0.50354
26,11.454911,0.732422,2.56348,5.00488,0.686646,0.650024,0.384521
27,11.454971,1.09863,3.84521,4.39453,0.805664,0.485229,0.3479
28,11.455031,0.854492,2.2583,1.58691,0.668335,0.50354,0.668335
29,11.455091,1.0376,3.17383,1.58691,0.759888,0.485229,0.613403
30,11.455151,1.09863,2.62451,2.44141,0.650024,0.750732,0.439453
31,11.455211,0.915527,2.68555,1.70898,0.897217,0.549316,0.494385
32,11.455271,0.488281,2.80762,4.63867,0.531006,0.50354,0.494385
33,11.455331,0.915527,4.27246,1.83105,0.778198,0.558472,0.485229
34,11.455391,1.58691,2.56348,3.05176,0.650024,0.686646,0.613403
35,11.455451,1.64795,3.41797,0.854492,0.778198,0.549316,0.430298
36,11.455511,1.28174,2.13623,4.63867,0.631714,0.65918,0.485229
37,11.455571,0.427246,3.54004,1.70898,0.759888,0.50354,0.531006
38,11.455631,0.732422,2.99072,3.66211,0.604248,0.604248,0.485229
39,11.455691,1.28174,3.23486,0.244141,0.83313,0.521851,0.540161
40,11.455751,0.366211,2.38037,4.5166,0.595093,0.631714,0.366211
41,11.455811,0.366211,3.23486,4.76074,0.695801,0.485229,0.494385
42,11.455871,0.976563,3.84521,1.70898,0.704956,0.622559,0.50354
43,11.455931,1.95313,3.05176,2.44141,0.650024,0.411987,0.430298
44,11.455991,1.40381,2.31934,3.2959,0.650024,0.567627,0.521851
45,11.456051,0.549316,3.11279,2.68555,0.714111,0.640869,0.3479
46,11.456111,1.64795,3.35693,4.27246,0.750732,0.430298,0.3479
47,11.456171,1.15967,2.86865,0.12207,0.604248,0.549316,0.375366
48,11.456231,1.09863,2.74658,1.58691,0.686646,0.50354,0.650024
49,11.456291,0.427246,2.2583,3.41797,0.585938,0.723267,0.256348
50,11.456351,0.488281,3.23486,1.70898,0.869751,0.540161,0.650024
51,11.456411,0.976563,2.80762,5.85938,0.50354,0.585938,0.357056
52,11.456471,1.52588,3.78418,0.366211,0.805664,0.485229,0.50354
53,11.456531,1.0376,2.68555,4.02832,0.540161,0.576782,0.457764
54,11.456591,2.19727,2.86865,4.27246,0.778198,0.50354,0.3479
55,11.456651,1.40381,3.41797,3.54004,0.732422,0.650024,0.320435
56,11.456711,1.40381,3.23486,6.46973,0.631714,0.585938,0.531006
57,11.456771,1.70898,2.80762,2.31934,0.814819,0.384521,0.50354
58,11.456831,1.2207,2.92969,2.80762,0.787354,0.585938,0.476074
59,11.456891,1.46484,2.99072,5.00488,0.512695,0.585938,0.540161
60,11.456951,0.854492,3.60107,0.610352,0.878906,0.540161,0.494385
61,11.457011,0.427246,2.74658,5.37109,0.769043,0.686646,0.338745
62,11.457071,1.46484,3.2959,4.39453,0.769043,0.375366,0.604248
63,11.457131,1.28174,3.78418,2.0752,0.787354,0.512695,0.494385
64,11.457191,1.52588,2.38037,1.2207,0.769043,0.686646,0.668335
65,11.457251,1.15967,2.13623,2.31934,0.741577,0.567627,0.411987
66,11.457311,0.915527,1.70898,4.27246,0.787354,0.65918,0.595093
67,11.457371,1.64795,2.62451,4.27246,0.65918,0.576782,0.640869
68,11.457431,0.0610352,2.86865,1.83105,0.732422,0.714111,0.485229
69,11.457491,0.793457,2.74658,4.88281,0.704956,0.796509,0.613403
70,11.457551,-0.183105,3.84521,4.39453,0.778198,0.540161,0.366211
71,11.457611,1.28174,3.23486,7.8125,0.613403,0.3479,0.210571
72,11.457671,1.28174,3.60107,2.19727,0.549316,0.531006,0.494385
73,11.457731,1.52588,3.479,4.39453,0.567627,0.494385,0.402832
74,11.457791,1.52588,3.66211,4.15039,0.668335,0.512695,0.558472
75,11.457851,1.09863,4.3335,3.17383,0.613403,0.457764,0.466919
76,11.457911,1.83105,3.17383,3.66211,0.540161,0.622559,0.567627
77,11.457971,1.46484,3.41797,0.244141,0.787354,0.778198,0.668335
78,11.458031,0.610352,2.31934,5.49316,0.759888,0.769043,0.814819
79,11.458091,0.183105,2.44141,5.37109,0.750732,0.50354,0.137329
80,11.458151,0.671387,3.05176,2.56348,0.805664,0.448608,0.283813
81,11.458211,0.244141,3.90625,5.49316,0.67749,0.485229,0.531006
82,11.458271,1.52588,3.84521,2.80762,0.695801,0.631714,0.622559
83,11.458331,1.89209,2.92969,1.09863,0.778198,0.704956,0.558472
84,11.458391,0.915527,2.99072,3.78418,0.769043,0.576782,0.585938
85,11.458451,0.671387,2.68555,3.17383,0.787354,0.686646,0.421143
86,11.458511,1.09863,2.92969,8.05664,0.714111,0.640869,0.759888
87,11.458571,0.610352,3.35693,6.46973,0.640869,0.540161,0.3479
88,11.458631,0.732422,2.74658,2.56348,0.714111,0.576782,0.402832
89,11.458691,1.09863,2.86865,4.02832,0.750732,0.567627,0.485229
90,11.458751,0.305176,2.56348,2.56348,0.769043,0.604248,0.439453
91,11.458811,1.46484,3.11279,1.95313,0.668335,0.540161,0.650024
92,11.458871,1.70898,3.05176,4.15039,0.65918,0.640869,0.457764
93,11.458931,1.15967,2.19727,2.80762,0.769043,0.604248,0.476074
94,11.458991,1.2207,3.23486,5.7373,0.668335,0.65918,0.723267
95,11.459051,2.31934,2.68555,5.37109,0.650024,0.631714,0.50354
96,11.459111,1.46484,2.50244,0.244141,0.814819,0.640869,0.521851
97,11.459171,0.366211,2.0752,6.22559,0.750732,0.704956,0.567627
98,11.459231,0.488281,3.2959,4.76074,0.83313,0.512695,0.320435
99,11.459291,1.15967,3.54004,5.61523,0.723267,0.558472,0.540161
100,11.459351,1.34277,3.90625,4.63867,0.604248,0.466919,0.512695
101,11.459411,1.28174,2.86865,1.2207,0.67749,0.640869,0.521851
