,time,Fx,F
0,4e-06,0.0,1.7460295
1,6.8088471116e-06,0.0,13.845973
2,1.08088471116e-05,0.0,3.3219319
3,1.48088471116e-05,0.0,14.288017
4,1.88088471116e-05,0.0,3.866539
5,2.28088471116e-05,0.0,5.9024406
6,2.55088988988e-05,0.0,26.782181
7,2.95088988988e-05,0.0,11.672845
8,3.35088988988e-05,0.0,28.67828
9,3.66623440759e-05,0.0,45.007373
10,4.06623440759e-05,0.0,23.990429
11,4.40589756065e-05,0.0,21.868663
12,4.80589756065e-05,0.0,11.478894
13,5.20589756065e-05,0.0,24.319156
14,5.60589756065e-05,0.0,18.685199
15,6.00231434262e-05,0.0,5.4254484
16,6.00231434262e-05,0.0,35.515795
17,6.40231434262e-05,0.0,15.579443
18,6.74445088217e-05,0.0,28.918269
19,7.14445088217e-05,0.0,45.046593
20,7.54445088217e-05,0.0,27.453794
21,7.94445088217e-05,0.0,30.484114
22,8.34445088217e-05,0.0,30.923846
23,8.51269710329e-05,0.0,33.360611
24,8.91269710329e-05,0.0,12.082783
25,9.31269710329e-05,0.0,6.4717532
26,9.62966009623e-05,0.0,76.502521
27,0.0001002966009623,0.0,25.676605
28,0.0001042966009623,0.0,17.870289
29,0.0001062215091232,0.0,17.55117
30,0.0001102215091232,0.0,9.1093465
31,0.0001142215091232,0.0,25.858201
32,0.0001182215091232,0.0,25.097924
33,0.0001222215091232,0.0,20.986257
34,0.0001262215091232,0.0,24.535669
35,0.0001302215091232,0.0,17.315865
36,0.000132276162415,0.0,16.575006
37,0.000136276162415,0.0,13.546926
38,0.000140276162415,0.0,10.428596
39,0.0001438798977827,0.0,39.20887
40,0.0001478798977827,0.0,58.432945
41,0.0001495486380162,0.0,63.448543
42,0.0001535486380162,0.0,33.361216
43,0.0001575486380162,0.0,31.270903
44,0.0001615486380162,0.0,27.58945
45,0.0001633742273391,0.0,26.843227
46,0.0001673742273391,0.0,48.827117
47,0.0001713742273391,0.0,27.672661
48,0.0001730113092047,0.0,26.155331
49,0.0001770113092047,0.0,26.505717
50,0.0001810113092047,0.0,19.935953
51,0.0001829005214019,0.0,18.88828
